"Filename","Title","Author","Date","Nationality","Source","OCR_Score"
"1.txt","Leicester : an autobiography","Adams, Francis William Lauderdale","1885","British","Chadwyck",0.9649
"10.txt","Merry England: or, Nobles and serfs","Ainsworth, William","1874","British","Chadwyck",0.9486
"100.txt","Sense and sensibility: a novel","Austen, Jane","1811","British","Chadwyck",0.9355
"1000.txt","The two friends; a novel","Gardiner, Marguerite Countess of Blessington","1835","British","Chadwyck",0.9421
"1001.txt","The victims of society","Gardiner, Marguerite Countess of Blessington","1837","British","Chadwyck",0.9518
"1002.txt","Tregarthen Hall: a novel","Garland James","1871","British","Chadwyck",0.9464
"1003.txt","The occupations of a retired life : a novel","Garrett Edward pseud i e Isabella Fyvie afterwards Mayo","1868","British","Chadwyck",0.957
"1004.txt","Maurice Durant","Garvice Charles d 1920","1875","British","Chadwyck",0.961
"1005.txt","Evelyn Harcourt. A novel","Gascoigne, Caroline Leigh Smith","1847","British","Chadwyck",0.9557
"1006.txt","""A step aside""","Gascoigne, Gwendolen Trench","1893","British","Chadwyck",0.9607
"1007.txt","A lion among the ladies : a novel","Gaskell Philip","1888","British","Chadwyck",0.9519
"1008.txt","Mary Barton: A Tale of Manchester Life ... In Two Volumes ... Third Edition","Gaskell, Elizabeth Cleghorn","1849","British","Chadwyck",0.9798
"1009.txt","North And South. By The Author of ""Mary Barton,"" ... In Two Volumes. Second Edition","Gaskell, Elizabeth Cleghorn","1855","British","Chadwyck",0.9719
"101.txt","Sense and Sensibility. A Novel. In Three Volumes. By a Lady.","Austen, Jane","1811","British","Chadwyck",0.9715
"1010.txt","Ruth. A Novel. By the Author of ""Mary Barton."" In Three Volumes","Gaskell, Elizabeth Cleghorn","1853","British","Chadwyck",0.9729
"1011.txt","Sylvia's Lovers: By Mrs. Gaskell ... In Three Volumes. Second Edition","Gaskell, Elizabeth Cleghorn","1863","British","Chadwyck",0.9663
"1012.txt","Wives and Daughters. An Every-Day Story. By Mrs. Gaskell. With Eighteen Illustrations by George Du Maurier. In Two Volumes","Gaskell, Elizabeth Cleghorn","1866","British","Chadwyck",0.9726
"1013.txt","Calthorpe; or, Fallen fortunes. A novel","Gaspey, Thomas","1821","British","Chadwyck",0.9523
"1014.txt","History of George Godfrey","Gaspey, Thomas","1828","British","Chadwyck",0.9599
"1015.txt","Other times; or, the monks of Leadenhall","Gaspey, Thomas","1823","British","Chadwyck",0.9493
"1016.txt","The Lollards: a tale, founded on the persecutions which marked the early part of the fifteenth century","Gaspey, Thomas","1822","British","Chadwyck",0.953
