passage.number,passage,annotator
2,"When she died — the only creature who ever really loved me — I laid the half of tlie last salary I received in my husband's desk. He was out that day at a picnic in the suburbs of London. I went and had a view of him reclining on the grass at a flaxen-haired English girl's feet. I overheard his whisper to the young creature's mother or aunt : * She is a girl to live and die for ; ' and then I turned my back, left him to his fate, and w^ent to seek my own. "" Do you know^ what I did ? Having just lost sight of my mother in the grave, and had a glimpse of my husband, as I have stated, I had small chance of keeping my head steady enough to guide the capering of my feet. So I took my passage to a French island, and to make it difficult to trace me, called myself Madame Olympia.",alex
7,"In twenty-four hours,' continued Gr^goire, ' Paris will explode, and blood will flow. The result of this stroke of policy is certain. Paris will be in arms to-morrow, and the court will take the opportunity of pouring upon the city in revolt its troops of mercenaries. It may succeed ; the nascent revolution may be strangled by the iron grasp of the military, and then recommences the reign of tyranny. It may fail, and then the people are lashed into fury, and will not spare the conquered. The stroke is bold.' ' What is to be done ? ' '",alex
12,"“No,” rejoined Bob, “I never did.” “No,” rejoined Sam, triumphantly. “Nor never vill; and there's another thing that no man never see, and that's a dead donkey—no man never see a dead donkey, 'cept the genI'm'n in the black silk smalls as know'd the young 'ooman as kept a goat; and that wos a French donkey, so wery likely he warn't vun o' the reg'lar breed.” “Well, what has that got to do with the postboys?” asked Bob Sawyer. “This here,” replied Sam. “Vithout goin' so far as to as-sert, as some wery sensible people do, that postboys and donkeys is both immortal, wot I say is this; that venever they feels theirselves gettin stiff and past their work, they just rides off together, vun postboy to a pair, in the usual vay; wot becomes on 'em nobody knows, but it's wery probable as they starts avay to take their pleasure in some other vorld, for there ain't a man alive as ever see either a donkey or a postboy a takin' his pleasure in this!” Expatiating upon this learned and remarkable theory, and citing many curious statistical and other facts in its support, Sam Weller beguiled the time until they reached Dunchurch, where a dry post-boy and fresh horses were procured; the next stage was Daventry, and the next Towcester; and at the end of each stage it rained harder than it had done at the beginning.",alex
17,"The silence he enjoined was soon, how- ever/interrupted by the boy (who, with the restlessness peculiar to his age, had wandered away to a distance) exclaiming aloud, as if in the greatest agony — "" I am killed! I am killed !^^ Osmond instantly flew to his assistance, and raising him from the ground, on which he found him extended, enquired what had happened? '' Oh master, master,'* said or rather roared the boy, '^ one of my legs is surely broke, for the mule has trod upon it/' "" '' By St. Benedict, I wish,"" cried Mac- talla, who had followed close upon the steps of his master, '' that it waS your head she had got under her foot, and that she had kept it there till the day of judgment/' Osmond having satisfied himself that the leg leg was not fractured^",alex
22,"About a month since, my wife advanced me one step nearer to the Court for the Kelief of Insolvent Debtors, by presenting me with another child. On five previous occasions, her name had appeared in the List of British Mothers which adorns the daily Supplement of the Times newspaper. At each of these trying periods (I speak entirely of myself when I use the word "" trying "") she was attended by the same Monthly Nurse. On this last, and sixth, occasion, we were not so fortunate as to secure the services of our regular functionary. She was already engaged ; and a new Nurse, with excellent recommendations, was, tlierefore, employed in her stead. When I first heard of her, and was told that her name was IMrs. Bidlwinkle, I laughed.",alex
27,"ISmo, pp. 128, Is. First Steps in Geography. 105th Thousand. 18mo, pp. 56. Sewed, 4d. ; cloth, 6d. Elements of Physiography and Physical Geography. With Express Reference to the Instructions issued by the Science and Art Depart- ment, 30th Thousand, Revised.",alex
32,"Let me go, lest I pain you more. You cannot blind me by your flattery."" "" Blind you ! — would that I could couch your blindness, then would you see there is no feigning in my love. Nay go not yet — linger a'A hile ! you have not heard the half that I could urge."" "" It would be all in vain/' said Rosalind coldly, hurt at his pertinacity. '^ I cannot — will not grant you more than pity.",alex
37,"Will you turn to August 4 ? ' The clerk turned over the leaves of the register. 1 Had you an English lady and gentleman, father and daughter, arrive on that day ? ' 4 1 had. Mr. and Miss White. The man was clean shaven, about forty-five years old.' ' This is the portrait of his daughter.' c",alex
42,"I_ 8u' a""'i-.ough this had been done quickly, it consume* time, and the officers eonsequently gai-'Ml upon thew considerably. ' The field was a ploughed one. !_"" Everything^ seems against us,"" said Dick. ""Hera, this field, for instance. We shall have to make our war lound the edge of it, along the beaten path.",alex
47,"Are your arms pump-handles ? What stranger would imagine — well^ well, it can't be helped now ! Tell me — did you ever hear of your great -aunt, who lives in Suffolk ? "" ""Heard of Mrs. Sandyshaft!"" exclaimed Goody, who had been standing by the door, twirling her apron wdth both hands all the time. "" I should think so indeed ! Often and often ; and of Stoney- crof t Hall, too — haven't you, my lamb ? "" Too confused to speak, I nodded; and my father went on. "" I have had a letter from your great-aunt this morning, Barbara.",alex
52,"On parting from the pier most of the passen- gers forsook the upper deck, and ^yent scatter- ing to their state-rooms. A few remained lingering above ; among them the gentleman to whom belonged the golden-haired girl^ and the servant with skin of kindred colour. He did not stay, as one who takes a leaving look at his native land. It was evidently not his. In his own features, and those of the child held in his hand, there was an unmis- takable expression of ** Englishism/' as seen in its nobler type. The coloured domestic, more like America, was still not of the ^^",alex
57,"But their instinct told them Bruce was better out of the way of the storm. In other circumstances Bruce might have resisted the banishment indignantly; as it was, she was too confounded, affronted, and wretched to resist. It had been found impossible to keep Claud from being taken before a magistrate; and while the minister of Birkenbarns was still lying in his manse stricken and incapable, from the effects of the treatment he had re- ceived, it was equally impossible for the most lenient justice to avoid committing the young man to stand a trial. He ought to have known better, and he had taken the law into his own hands on a piece of provocation, which, however it might strike sensitive, re- fined minds, was still a trifle in the eyes of the law. However, a point could be stretched in admitting the laird to bail, and plenty of bail was at his service. The elder Misses Kirkpatrick w^ould fain have had Claud back to be cried over, hu- moured, and bowed down to more than ever, but their nearest and wisest brother-in-law insisted, as the sisters had done in the case of Bruce, that Claud should be removed from the scene, and kept as far as possible out of the way, till he was wanted. Claud had no objection, for though he Avas not sorry for his behaviour, which still appeared to him the most justifiable in the world, he was a little sick of the row which had been made and the mess which he had got into, when all the beggars, whether favourable or adverse, pulled such long faces, and the old girls threatened to become waterspouts.",alex
