passage.number,passage,annotator
1,"How power- fully do the early associations of music recall the scenes and friends of our childish days ! Do you re- member those simple lines, Mifis De Cardonnell.^— * My eyes are dim with childish tears, My heart is idly stirr'd. For the same sound is in mine ears Which in those days I heard !' "" Emily repeated to him some stanzas from Leyden\s beautiful Ode to Scottish music, and enchanted by the beauty of her recitation, he begged her to try to re- member some more verses. "" I remember only another,"" she said, "" which alludes to the Hindu belief that earthly music recalls to our memory the feelings and recollections of that Paradise which they believe our souls enjoyed in a state of pre-existence. ' Ah !",mark
2,"When she died — the only creature who ever really loved me — I laid the half of tlie last salary I received in my husband's desk. He was out that day at a picnic in the suburbs of London. I went and had a view of him reclining on the grass at a flaxen-haired English girl's feet. I overheard his whisper to the young creature's mother or aunt : * She is a girl to live and die for ; ' and then I turned my back, left him to his fate, and w^ent to seek my own. "" Do you know^ what I did ? Having just lost sight of my mother in the grave, and had a glimpse of my husband, as I have stated, I had small chance of keeping my head steady enough to guide the capering of my feet. So I took my passage to a French island, and to make it difficult to trace me, called myself Madame Olympia.",alex
3,"It seemed a dream — a vision, which could have no truth in it ; and yet it came back and back upon him with an awful sense of all its consequences. Was not the love itself rash, mad, hopeless '? Had not the avowal of it been wrong, base, ungrateful 1 What would Mr. West wood think — he who had loaded him with kindness — he who had fostered, with such tender- ness, his youth, promoted his views in manhood, interested himself in every turn of his fate — what would he think, when he found that the child of his bounty, the son of the simple village carpenter, had raised his eyes to his daughter, had used the ad- vantages which the bounty of himself and his family had bestowed, to win her love, and perhaps to darken all the prospects of her future life 1 Bitter — bitter, was his self reproach ; but it was nothing to his despair. To hope was mere frenzy: he knew it well and yet what could he do? He could not fly. He was too weak to go immediately. He had promised to remain, even if he had been strong enough ; and had he not done so, could he leave Mary to despair like his ?",jessica
4,"Everyone ought to do their best to spare you.' * But I do not want to be spared,' returned Audrey, echoing her mother's sigh ; ' so please send Gage to me, and tell her not to stop too long. Crauford can tell her when tea is ready.' And then Mrs. Ross left her very reluctantly. Geraldine's face was suffused with tears as she sat down beside the bed and took her sister's hand. Audrey shook her head at her. * Gage, I don't mean to allow this ; you and mother are not to make yourselves miserable on my account.' ' How are we to help it, Audrey ?' replied Geraldine with a sob ; * I have never seen you look so ill in your life, and no wonder — this unhappy engagement !",svenja
5,"Although Miss Biddy was daily pestered with accusations against her knavish ward, she determined not to credit a word to his dispa- ragement, especially as these were accusations not substantiated by evidence, which they could not well be, for he had never yet been actually and substantively detected in a viola- tion of the criminal code. He therefore pur- sued his career with the greater recklessness, whilst the idea of an absolute predestination to eternal life had so fixed upon his conviction, that he claimed to himself impunity from sin as a matter of divine and indefeasible privilege. Impelled by the confidence which such a con- clusion naturally awakened, he cast himself into all sorts of peril without once looking to the issue ; and to Erasmus's question in the colloquy of the soldier's confession, "" Do you never think what will become of your soul if you are knocked on the head ?"" he would no doubt have exclaimed with the murderous thane — "" I bear a charmed life !""* The venerable Miss Mackinnon, who had now attained a period of most respectable senility — for she was by this time fast verging upon seventy — though she became at times excessively peevish when the tricks of her ward were made the topic of discourse, dog- gedly adhered to her old conclusion that a pre- * Macbeth. destinated sinner must make an elected saint ; and, therefore, no matter to her how the dogs of the world, who had "" neither part nor lot'^ with him , represented his backslidings, she felt satisfied nevertheless, that he was perfectly secure of a communion with Calvin in the world of beati- fied spirits, where he would exult over the fall of Arminius and his three able defenders, Barnevelt, Grotius, and Hoogarbetz_, whom the Oudewater heretic had seduced from the sim- plicity of the truth, and involved in that ever- lasting doom which he had brought down upon himself.",matt
6,"that he had lost his senses ; he thought it would be better to leave him to recover himself; he began to think that the next morning he should find him more reasonable. There was not much time to be lost : the trial would come on in abouc three weeks ; but one single night lost could not be of much importance. So he deliberately took up and closed his silver inkstand^ folded his paper, and placed them both in his pocket, still looking at Henry all the time. He now, under the various alternations of extrence misery, had sank into his chair again quite ex- hausted. The momentary irritation of his goi)d old friend had been but the anger of a moment : he said now, as kindly and soothingly as ever :^ '^ I see, my dear sir, that this agitating day iias really been too much for you.",mark
7,"In twenty-four hours,' continued Gr^goire, ' Paris will explode, and blood will flow. The result of this stroke of policy is certain. Paris will be in arms to-morrow, and the court will take the opportunity of pouring upon the city in revolt its troops of mercenaries. It may succeed ; the nascent revolution may be strangled by the iron grasp of the military, and then recommences the reign of tyranny. It may fail, and then the people are lashed into fury, and will not spare the conquered. The stroke is bold.' ' What is to be done ? ' '",alex
8,"She is dreaming of her heavenly lover, who stands gazing at her, his "" gTeat brooding wings "" outspread above and seeming to lift as you look at them. ""That's better."" "" Better ! — it's j^erfect. Look at the value of that little bit of ultramarine in the drapery round the neck of the Cu]3id ; it's like a bit of blue sky clinging to him, some critic says, and, 'pon my honour, it really is."" ""That was added only a few years ago by a picture restorer."" "" Impossible. No ; it is Tiziano ; it's the great man, sir. I ouo-ht to know his brush marks.",jessica
9,"Sometimes she would talk wildly and laugh gaily ; but at others, she would sink into profound fits of thought, gaze forth into the vacant air, and answer questions quite astray. Even Lady Fleetwood seemed in a degree to feel the irritating effects of expectation. Once, in the middle of breakfast, without a word having been uttered regarding travels or travellers, she suddenly lifted her head, and said, "" I wonder at what hour they will arrive ;"" and some time afterwards, when walking for a moment on the terrace with Maria, she observed in the same abrupt manner, "" They will have a fine day for their arrival, at all events."" As the day wore on, and the hour at which they might be expected passed, Maria grew more thoughtful, more anxious, more grave; and Lady Ann, after watching her friend's face for a moment, said, "" Come Maria; this will not do. Let us go and amuse ourselves some way. We will walk down to the steward's, and see the hens and chickens, and talk about lambs, and be quite pastoral.",svenja
10,"He used to carry hemp to be steeped in the Lago d'Aniano, a very dangerous employ- ment, which annually cuts oft' many of the natives; the vicinity of the lake being rendered unhealthy by the malaria, in consequence of the fermentative process undergone in tlie The monk who watched over him was the Padre Antonio, who shortly after became ab- bot of that community. It was then to him that Augustin suggested their addressing them- selves. He had his reasons for thinking that Father Antonio would not refuse him, and he was deputed to confer with him . They then ascended the steep, and winding rocky road which led to the monastery. As they drew near to it, the voices of the monks rose in solemn chant for the midnight service ; and the sound rolled in harmonious diapasons past the startled ears of the ruffians, who formed themselves in a circle round the con- vent ; it havino- been decided, that if they failed in their request to the abbot, tliey sliould re- venge themselves immediately by destroying the convent, and murdering the monks.",matt
