passage.number,passage,annotator
3,"It seemed a dream — a vision, which could have no truth in it ; and yet it came back and back upon him with an awful sense of all its consequences. Was not the love itself rash, mad, hopeless '? Had not the avowal of it been wrong, base, ungrateful 1 What would Mr. West wood think — he who had loaded him with kindness — he who had fostered, with such tender- ness, his youth, promoted his views in manhood, interested himself in every turn of his fate — what would he think, when he found that the child of his bounty, the son of the simple village carpenter, had raised his eyes to his daughter, had used the ad- vantages which the bounty of himself and his family had bestowed, to win her love, and perhaps to darken all the prospects of her future life 1 Bitter — bitter, was his self reproach ; but it was nothing to his despair. To hope was mere frenzy: he knew it well and yet what could he do? He could not fly. He was too weak to go immediately. He had promised to remain, even if he had been strong enough ; and had he not done so, could he leave Mary to despair like his ?",jessica
8,"She is dreaming of her heavenly lover, who stands gazing at her, his "" gTeat brooding wings "" outspread above and seeming to lift as you look at them. ""That's better."" "" Better ! — it's j^erfect. Look at the value of that little bit of ultramarine in the drapery round the neck of the Cu]3id ; it's like a bit of blue sky clinging to him, some critic says, and, 'pon my honour, it really is."" ""That was added only a few years ago by a picture restorer."" "" Impossible. No ; it is Tiziano ; it's the great man, sir. I ouo-ht to know his brush marks.",jessica
13,"When you've picked up a little more I'll come and act as amanuensis and that kind of thing."" Paul suddenly opened his eyes. "" I've a message to send,"" said he ; ""it isn't at all urgent, but I should like to give it while I remember."" "" All right. What is it ?"" "" When shall you call at Miss Kemball's ?"" "" To-morrow, probably.",jessica
18,"Shall it be * Gin a body ' or ' Huntingtower ' ?"" she asked meekly ; and nobody volunteering a decisive opinion, she chirruped the former coquettish little ballad, and put a stop to social intercourse for exactly four minutes and a half. After that evei^ing Mr. Stuart knew who his rival was, and with what kind of influence he had to contend. An author, a musical man, a genius ! Well, he had very few weapons with which to fight such an antagonist, he who was neither musical, nor literary, nor gifted with any of the graces which recommend a lover to a sentimental girl. But he was a man, and he meant to win her. He admired her for her frank young prettiness, so unsophisticated and girlish, and for that perfect freshness and truth- fulness of mind which made all her thoughts trans- parent. He was too much a man of the world to ignore the fact that Miss Kansome of Mapledown would be a very good match for him, or that such a marriage would strengthen his position in his aunt's esteem.",jessica
23,"is. Wintering Places of the South. Switzerland, Savoy, and North Italy, is. 6d. General Con- tinental Guide. $s.",jessica
28,"Park : he had taken care to have it prettily furnished ; and the sunny aspect and enhvening green expanse, on which the eye could dwell from the windows, rendered it a cheerful abode, and one in which Violet would have lived most contentedl}' if — but there are always ifs. D'Arcy had really taken pains to secure every comfort for her. She had a carriage at her command, and his servants were taught to respect her as their undisputed mistress. He endeavoured to make her preside at his table, and wished at once to introduce her to all his male friends — but this she refused. Abroad, she obliged him willingly in this particular, but in England, where she had once been so well known, Violet shrunk from such an ex- posure — for such she deemed it.",jessica
33,"""And,"" continued Helen, ""before the Killi- grews were loyal to their rightful king* and sacrificed their fortunes for the Stuart cause."" '' Well, anyhow/^ said Evered, "" tliat is a long time ago/^ Tlie |Darty liad now readied tlie old well. "" It is flowing still/^ said Helen Trevernen ; and down tlie moss-covered steps they descended to drink from the very source of its superstitious waters. Shall I drink V said Power. """,jessica
38,"She spoke at hazard, with no knowledge that her question would bear to him a painful personal significance. He answered it, however, without any change of countenance, l:)ut Avith a grave solemnity that made her again look at him curiously. ' Yes,' he said, ' I do hold that opinion, under great reserve. The occasion does not come perhaps more than once in a century, nor to one man in a thousand. I should hold you inexcusable for deceiving your brother on this point.' Sara raised her eyebrows. '",jessica
43,"Tripe were still in their Cupid and Psyche attitude, who should drive by on her way to pay a visit in ' PAllee des Veuves,' but Lady Bubble ! The check was instantly pulled. — Alcibiade in a moment was at the carriage door, and the next, Lady Bubble and her laro^e green fan were moving slowly and with great dignity towards the unconscious pair. Sir Romulus having as- certained to his perfect satisfaction, that he had incurred no breakage in the fall, was beginning, with great benevolence to think of the safety of his companion, which he evinced by the follow- ing question — '' Well, my dear, and how do you feel ?"" "" As every wife must, sir, at so scandalous and immoral a scene !"" exclaimed Lady Bubble, advancing with the aid of a tragedy queen, flourishing her closed fan, as the ghost does his baton in Hamlet ; and then suddenly placing it as a barrier between the hay-coloured mous- tache of Miss Tripe, and the "" celestial rosy red"" of Sir Romulus's ample and glowing cheeks ; which, from his recent unwonted ex- ertions, now blazed and shone, like the jewel of the Philippine Isles, which Camilla gave Gil Bias. •' My dear, my dear,"" said the baronet, with his usual presence of mind, "" you have no idea of the danger we have been in ; you should have seen us just after our fall."" "" I have, sir,"" replied Lady Bubble, with a look containing the whole of the third chapter of Genesis. """,jessica
48,"*For,'said Occunio, * we will sup well to-night, and rejoice iit the prospect of our good fortune/ ^' Arba possessed much good bu- mour and easiness of disposition ; but bis natural abilities were by no nieans eqiial to Occumo's, nor had he had tlie advantages of reading and writing, and ofconversing with Moors of distinc- tion, which Occumo had during the five years he was private secretary to the effendi. What can you expect from an untaught, unenlightened slave, in a countr}' where learning is in such a State of infancy that the first men of the kingdom can barely write their namesj and the uttnost of their literary piirsuits are reading the prayers written by the,Talbs for their use; and now and then some are allowed to look into the G 5 koran ; koran ; therefore, the good offices I received froni Arba, proceeded from his natural kindness of hcart. He had HO idcaof duty; in him reason scarce seenied to dawn, and he often did and Said such unaccountable thjngs, that while'I pitied his darkness I could not help smiling at h\s innoccnt ignorance, for hecertainly was a child of untaught Nature, ** The next day I went to work without being much noticed, as none who did not see my face knew I was ä Christian. Another week passed, and ijo public news arrived from the » emperor, 'I fear/ said Occumo, *I shall be disappointed/ I hope not^ (I replied.)",jessica
