passage.number,passage,annotator
1,"How power- fully do the early associations of music recall the scenes and friends of our childish days ! Do you re- member those simple lines, Mifis De Cardonnell.^— * My eyes are dim with childish tears, My heart is idly stirr'd. For the same sound is in mine ears Which in those days I heard !' "" Emily repeated to him some stanzas from Leyden\s beautiful Ode to Scottish music, and enchanted by the beauty of her recitation, he begged her to try to re- member some more verses. "" I remember only another,"" she said, "" which alludes to the Hindu belief that earthly music recalls to our memory the feelings and recollections of that Paradise which they believe our souls enjoyed in a state of pre-existence. ' Ah !",mark
6,"that he had lost his senses ; he thought it would be better to leave him to recover himself; he began to think that the next morning he should find him more reasonable. There was not much time to be lost : the trial would come on in abouc three weeks ; but one single night lost could not be of much importance. So he deliberately took up and closed his silver inkstand^ folded his paper, and placed them both in his pocket, still looking at Henry all the time. He now, under the various alternations of extrence misery, had sank into his chair again quite ex- hausted. The momentary irritation of his goi)d old friend had been but the anger of a moment : he said now, as kindly and soothingly as ever :^ '^ I see, my dear sir, that this agitating day iias really been too much for you.",mark
11,"His, firmness excited at once her anger and her admiration. She could not believe that she had heard his words rightly. She sat down to recall mi- nutely every circumstance of what had just passed, every word, every look; she she finished, by persuading herself, thafc his calmness was affected, that the best method she could possibly take, was by a show of resistance to bully him out of his indifference. She little knew what she hazarded : when the danger of losing her husbands love was imaginary, and solely of her own creating, it affected her in the most violent manner ; but now that the peril Was real and immi- nent, she was insensible to its existence. A celebrated traveller in the Alps, advises people to imagine themselves walking amidst precipices, when they are safe upon smooth ground ; .and he assures them that by this practice, they may inure themselves so to the idea of danger, as to prevent all sense of it in the most perilous situations. The four and twenty hours passed: and at the appointed moment, our he* rome and her husband met",mark
16,"Lord Dorimont thanked honest Jack, and assured him that he had lived too long in the world to be done by twenty Sir Harrys, but that he should bear the hint in mind, and act accordingly. The dinner was ordered at eight, but the worthy Baronet still continued his old pur- suits, and was as punctual to his engage- ments as ever, so that it was nearly ten o'clock before he made his appearance, and called for dinner. The party consisted of six, amongst whom were two great cronies of his, desperate hard drinkers, who were engaged to ply our hero so as to make him jolly, if possible ; they acquitted them- selves very well, but Lord Dorimont was on his guard. When they thought that he seemed some- what flushed, they proposed a little chucker hazard, and a box and dice were produced. They began to play heavy stakes amongst themselves, but neither Jack Smith nor Lord Dorimont would bet any of the party, only backing their own hands. Sir Harry saw it was no use to persist, and pretending to vote private play a bore, with an assurance (it was the height of as- surance) that he could not bear to win money of his friends, he suggested going to a hell to finish the night, but neither to Hookey's nor to the Milton ; he therefore took the party to a hell in King Street, well deserving of that name, if ever there was a hell upon earth : the gang was composed of broken- down gamesters, bankrupt tradesmen, and the very dregs of society, and off-scourings of the town. The stranger party made no small swell ; seats were provided for them, and every mark of distinction was paid them.",mark
21,"Httle real strength his fatigue and pain had left. He leant against the wall, faint, panting, without the power to move. A light near him shone into his eyes ; he was not able even to raise his head to discover what it was. And yet they were near . . . they would be coming ; they would catch him at last. With a great effort he raised his head towards the light. It was a lantern hung over a green door in the wall, no doubt intended kindly to relieve the darkness of the lane.",mark
26,"She vv'as an orphan ; and even in childhood blessed, or cursed, as fortune should decide, with that irresistible beauty which so often dazzles judgment, and confounds even wisdom. Lady Montague had been the saving angel of her mother ; who, though educated in the highest and happiest hopes, finally reverted to this dear, and once humble friend, as the sole j^rotector of her child ; nor was the appeal fruitless even when the heart that made it ceased to beat ; since to cherish the little Clara as a wife for one of her own sons, was among the few romantic projects which Lady Montague ever formed. The over- whelming succession of calamities that swept both mother and children to one common grave, left to Sir Arthur the painfid task of restoring Miss Rochford to those who were called her natural friends. lUit he had soon too much reason to regret having given up his lovely charge. Under the roof of her aunt, Lady Selina, the sweet child "" learned to sigh ere she could know to sin ;"" and was finally, by a concurrence of events, returned to the guard- ianship of the good baronet, with an earnest request that he would place her, for a small stipend, under some respectable protection in the country, llnppy was the day of her emancii)ation to the little Clara, who, in the bosom of nature and solitude, had early acquired those simple tastes and warm aftections which, with a moderate degree of cultivation, give mind its best character, and life its truest zest. In receiving her again to his protection, Sir Arthur was not, however, quite satisfied that he acted wisely. With the indecision, therefore, common to bounded minds, he attempted to find a medium where judgment would have told him that there could be none : and confining his pre- cautions to the simple one of removinor her from his own roof, he encouraged the hope that time and chance, if not the early return of Mr. Cavendish, would wholly separate her from Montague.",mark
31,"Sir John had not been in Paris for thirty years, and consequently found it had altered. The French are not a nation to stand still, or remain stationary either in science, art, manufactures, or architecture; on the con- trary, they are what the Americans call ""go-a-head"" — that is to say, they do not hold the "" what-was-good-enough-for-my- grandmother-is-good-enough-for-me'' theory, which I hold to be a most pernicious and preposterous one. The day after his arrival in Paris, Sir John had left cards at the English Embassy. He knew Lord Mountchessington in former days, and felt no scruple in claiming his ac- quaintance. His maxim was, never to suifer an ac- quaintance who might be useful to relapse into a stranger, or a friend to fall into the position of an acquaintance. "" You never know when you may want them,"" he used to say; ''and some people are so con- foundedly high and mighty, that they pretend they don't recognise you just at the moment you do want them."" Before he succeeded to the baronetcy he had plenty of experience of this sort; men who had made their way did not see any particular use in knowing John Fenacre; so, accord- ingly, they did not know him.",mark
36,"Then I'll take en back with me,"" said Mr. Brown; ^^and when danger threatens, he shall have the same quarters he had to- day."" The tears rolled down Edith's cheeks as he said thisj but she was silent. She then tried to dry her moistened countenance, that she might receive Eichard with an appearance of composure, and she succeeded in doing so ; but when he arrived, in spite of her efforts, another outburst followed. The recollection of his danger overpowered her. He caught her in his arms, and, greatly moved by the agitation of his wife, he held her to his breast. Not a word was uttered. The grief was too pro- found for interruption.",mark
41,"I knew no language strong enough to express my reprobation of her conduct ; and, yet, had I honestly looked into my own heart, and examined my own conduct, I should, perhaps, have found myself much the worse of the two. But this was what I never thought of. It required deeper humiliations and greater sufferings to awaken in me a real desire for amendment of life. The pangs I now felt were merely those of wounded self-love, ^s clearly appeared from this : that instead of pausing in my career^ I only diverted my passions into a new channel, and went on quite as recklessly as before. With all Ann's art, she failed to conceal from me, the fact, that in motives and conduct she differed very little from her mistress. Over parts of her narrative there hung a deep mystery ; yet, inadvertantly, and obviously against her will, she made me sensible that Doctor Crick had played a more important part than I imagined in the Leigh family.",mark
46,"I will I And when I say I will it is useless for thee to say ' thou wilt not ' — that thou knowest. Come, leave the fire, and bare that honest breast of thine that I may see the secret there. Come ! show' the cards."" "" I have none to show,"" he snarled, cowering still closer to the fire. Her eyes flashed for a moment, and the soiled fingers tightened round the thick stem of the glass. "" Idiot ! "" she hissed, leaning over the table till her wine-stained breath came hotly against his hair. "" Idiot ! Wilt thou leave me to find it out and take my own and thy share too .? Idiot ! Am I blind, thinkest thou, or as great a dolt as thyself that thou hug'st thyself with the belief that I do not know that thou hast found him ! """,mark
