passage.number,passage,annotator
5,"Although Miss Biddy was daily pestered with accusations against her knavish ward, she determined not to credit a word to his dispa- ragement, especially as these were accusations not substantiated by evidence, which they could not well be, for he had never yet been actually and substantively detected in a viola- tion of the criminal code. He therefore pur- sued his career with the greater recklessness, whilst the idea of an absolute predestination to eternal life had so fixed upon his conviction, that he claimed to himself impunity from sin as a matter of divine and indefeasible privilege. Impelled by the confidence which such a con- clusion naturally awakened, he cast himself into all sorts of peril without once looking to the issue ; and to Erasmus's question in the colloquy of the soldier's confession, "" Do you never think what will become of your soul if you are knocked on the head ?"" he would no doubt have exclaimed with the murderous thane — "" I bear a charmed life !""* The venerable Miss Mackinnon, who had now attained a period of most respectable senility — for she was by this time fast verging upon seventy — though she became at times excessively peevish when the tricks of her ward were made the topic of discourse, dog- gedly adhered to her old conclusion that a pre- * Macbeth. destinated sinner must make an elected saint ; and, therefore, no matter to her how the dogs of the world, who had "" neither part nor lot'^ with him , represented his backslidings, she felt satisfied nevertheless, that he was perfectly secure of a communion with Calvin in the world of beati- fied spirits, where he would exult over the fall of Arminius and his three able defenders, Barnevelt, Grotius, and Hoogarbetz_, whom the Oudewater heretic had seduced from the sim- plicity of the truth, and involved in that ever- lasting doom which he had brought down upon himself.",matt
10,"He used to carry hemp to be steeped in the Lago d'Aniano, a very dangerous employ- ment, which annually cuts oft' many of the natives; the vicinity of the lake being rendered unhealthy by the malaria, in consequence of the fermentative process undergone in tlie The monk who watched over him was the Padre Antonio, who shortly after became ab- bot of that community. It was then to him that Augustin suggested their addressing them- selves. He had his reasons for thinking that Father Antonio would not refuse him, and he was deputed to confer with him . They then ascended the steep, and winding rocky road which led to the monastery. As they drew near to it, the voices of the monks rose in solemn chant for the midnight service ; and the sound rolled in harmonious diapasons past the startled ears of the ruffians, who formed themselves in a circle round the con- vent ; it havino- been decided, that if they failed in their request to the abbot, tliey sliould re- venge themselves immediately by destroying the convent, and murdering the monks.",matt
15,"Is it Carruthers ? "" asked Horace, after a pause. '' Dela cares for some one, I'm sure."" ""No, it is not his lordship,"" replied Lilian sadly. "" I wish she could like him, he would make her a loving husband,, and he w^orships her."" "" I have thouo^ht so for a lono- time. Well, who is it, Lilian ?",matt
20,"A VERY HANDSOME VOLUME- Large 410, cloth extra, 31J. 6d. White Mountains (The Heart of the) : Their Legend and Scenery. By Samuel Adams Drake. With nearly 100 Illustrations by W. Hamilton Gibson, Author of "" Pastoral Days."" Crown 8vo, cloth limp, with Illustrations, 2j.",matt
25,"And now there came to them from Mr. Emilius the prettiest little gold salver that ever was seen. “I send Messrs. Clerico's docket,” wrote Mr. Emilius, “as Miss Roanoke may like to know the quality of the metal.” “Ah,” said Mrs. Carbuncle inspecting the little dish, and putting two and two together; “he's got it cheap, no doubt,— at the place where they commissioned him to buy the plate and candlesticks for the church; but at £3 16s. 3d. the gold is worth nearly twenty pounds.” Mr.",matt
30,"There was something incongruous and inconceivable in the idea of the child of Cornelia a woman, married to his cousin. He feared to see in her an image of the being who had subdued his heart of hearts, and laid prostrate his whole soul; he trembled to catch the sound of her voice, lest it might echo tones which could disturb to their depths his inmost thoughts. Ethel was so unlike her mother, that by degrees he became reassured; her eyes, her hair, her stature, and tall slender shape, were the reverse of Lady Lodore; so that in a little while he ventured to raise his eyes to her face, and to listen to her, without being preoccupied by a painful sensation, which, in its violence, resembled terror. It is true that by degrees this dissimilarity to her mother became less; she had gestures, smiles, and tones, that were all Lady Lodore, and which, when discerned, struck his heart with a pang, stealing away his voice, and causing him to stand suspended in the act he was about, like one acted upon by magic. While this mute and curious examination was going on in the minds of Ethel and her visitant, the conversation had not tarried. Edward had never been so far south, and the wonders of Naples were as new to him as to Ethel. Saville was eager to show them, and proposed going that very day to Pompeii.",matt
35,"Nogo shot uncommonly well, so that the grey-hen hadn't a chance."" "" It was my first appearance,"" I modestly suggested, "" and I could not be expected to be steady froQi riot."" "" Never mind,"" said Beeswing, alluding to an old story of poor Goosey, when ' a gent ' rode on to one of his hounds and killed him ; "" it's a poor concern that can't afford one a- day. Put the wdiisky-flask into the spring to cool. Sandy, get me a game-bag to sit upon. Now then, caterer Cob, what have you pro- vided for luncheon ?""",matt
40,"The poison of asps is under their lips, sir. I've proved it.' But there certainly was a tendency on the part of some to indulge in ungenerous criticisms concerning their neighbour's doings. Indeed, the atmosphere of Peckmore's seemed to have quite an alterative effect upon many of its patrons. Robert made the acquaintance of some, to all appearances, delightful people outside, who developed the most unexpected capabilities for maliciousness when once fairly in- stalled within. The disease took a dangerous form ; for whilst ignoring their own frailties, the patients im- puted the most selfish, discreditable motives to others. This certainly was a most singular phenomenon, and, not without alarm, did Robert contemplate how easily one could fall under the mysterious thraldom.",matt
45,"Toll's toll, I know that, and the miller has his dues as well as the farmer ; Ijut there's such a thing as paying through the nose, and that ril not do for the best grinding, by Saint-Corintin, will not I ! "" Poor Maitre Rannau. This was a heavy accusation, and almost took away his power of speech. Justify himself he did in a fashion ; promised to have his weig-hts adjusted immediately, made compensation from his own toll-bin, beg-g-ed a thousand pardons, and profoundly bowed the half-pacified farmer off tlie premises. Rut this did not conceal an ugly fact, nor clear up an awkward suspicion. In a tumult of agitation he went to seek for his much- praised man, who had not been present at the lodging ot this g-rave complaint. ""Holy Saint-Martin, what shall I do?"" he ejaculated under his breath, as he dragged his stiff leg- up the ladder which led to the grinding-room. """,matt
50,"Crown 8vo, cloth extra, 3s. 6d. ; post 8vo, illustrated boards, 2s. Lost Rose, and other Stories. Crown Svo, cloth extra, 3s. 6d. ; post Svo, illustrated boards, 2s. Mallory's (Sir Thomas) Mort d'Arthur : The Stories of King Arthur and of the Knights of the Round Table.",matt
