passage.number,passage,annotator,nondomestic,notes
252,"Definitively then, you will not allow me to write to the minister?"" *^ If I permitted all my prisoners to write to his Excellency, his whole time would be lost in reading petitions, and / should deserve to lose my place. I have heard enough. '' "" One word more, Captain ! If the words of a honest man possess any value in your eyes, I swear to you that the honour, life, and for- tune, of the Count von Spulgen, as well as the repose of another whom I will not now name, are at this moment in the greatest danger ! If, this day, the minister do not get my letter, to- morrow he is lost!""",alex,,
257,"This reason cannot yet be mentioned— he had hardly revealed it to himself—it was deep down in his soul—to be or not to be—as circumstances, time, and the hour should decide. After having lived so long in retirement, our young hero, when he was to go into company again, had many fears, that his manners would appear rustic and unfashioned. With all these apprehensions as to his manners, there was mixed a large proportion of pride of character, which tended rather to encrease than to diminish his apparent timidity. He dreaded that people should value him, or think that he valued himself, for his newly acquired fortune, instead of his good qualities—he feared that he should be flattered—and he feared that he should like flattery. —In the midst of all these various and contradictory apprehensions, he would perhaps have been awkward and miserable, had he been introduced into society by one who had less knowledge of the world, or less knowledge of the human, heart than Sir Ulick O'Shane possessed. Sir Ulick treated him as if he had always lived in good company. Without presupposing any ignorance or any difficulty, he at the same time always took care to warn him of any etiquette, or of any modern fashion, so that no one should perceive the warning but themselves.—",alex,,
262,"In 2 vols. 8vo. Price 1^ lOs. in Boards. ANECDOTES of the MANNERS and CUSTOMS of LON- DON from the roma\ INVASION to the Year ;700; including the Origin of British Socif.fy, Cnstoms, and Manners. A general Sketch of the State of P.e>i- gion. Snperstilion, Dresses, and Ainnsements of the Citizens of London, during that Period.",alex,,
267,"§s. — Or to accom- modate those purchasers who desire the parts separate- ly — The Animals, 4 vols. Si. 10s. — The Vegetables, 2 vols. 2l. 2s. — The Minerals and Life, lOs. 6d. *' Thus may our Life, exempt from public haunt, ** Find tons^ucs intree>, books in the running brooks, *' sermons in stones, a,nd good in every thing."" Shakespeare. The sphere of this great man's studies was no less exten- sive than all the productions of Nature '.",alex,,
272,"All work makes Peter discontent!"" Hubert is intensely amused by this gravely delivered speech. ""This is Miss Precocious,"" he says to his wife in English. "" Speak ee-ze Engliss,"" announces the "" fairy."" She has a sweet, merry face, and looks very kissable. She stretches up her small hands now and begins to play with the great bunch of seals and trinkets attached to Hubert's Avatch-chain. He regards her attentively the while, and says to his wife, "" She is a juvenile Hebe. What limbs she has, and what a bonnie face.",alex,,
277,"The children appeared almost distracted; their grief had more of that stunning character which attends unexpected calamity, than of sorrow for one who is gradually drawn from life. At length the messenger entered the room, and almost choked with tears, stated that both priests were absent that day at Conference, and would not return till late. The hitherto moderated grief of the wife arose to a pitch much wilder than the death of her husband could, under ordinary circumstances, occasion. To die without absolution--to pass away into eternity ""unanointed, unaneled""--without being purified from the inherent stains of humanity--was to her a much deeper affliction than her final separation from him. She cried in tones of the most piercing despair, and clapped her hands, as they do who weep over the dead. Had he died in the calm confidence of having received the Viaticum, or Sacrament before death, his decease would have had nothing remarkably calamitous in it, beyond usual occurrences of a similar nature. Now the grief was intensely bitter in consequence of his expected departure without the priest.",alex,,
282,"Madame Duval was in ex- tacies; and the Captain flung himfelf into so many ridiculous distortions, by way of mimicking her, that he engaged the atten- tion of all the company *, and, in the midst of the performance of the Coronation An- them, while Madame Duval was affecting to beat time, and uttering many expreftions of delight, he called suddenly for faits, which a lady, apprehending fome diftrefs, politely handed to him, and which, instantly applying applying to the nostrils of poor Madame j_)uval, fne involuntarily fhuffed up such a quantity, that the pain and surprise made her i cream aloud. When the recovered, flic reproached him, with her usual vehe- mence -, but he protested he had taken that meal ure out of pure 'friendship, as he con- cluded, from her raptures, that the was going into hysterics. This excuse by no means appeased her, and they had a violent quarrel -, but the only effect her anger had on the Captain, was to encreafe his diver- sion. Indeed, he laughs and talks so terri- bly loud in public, that he frequently makes us ashamed of belonging to him. Madame Duval, notwithstanding her wrath, made no fcrupie of returning to dine in 'Queen-Ann- street. Mrs. Mirvan had secured places for the play at Drury Lane Theatre, and, though ever uneasy in her company, she very politely invited Ma- dame Duval to be of our party -, however,, she had a bad cold, and chose to nurse it. I was sorry for her indisposition, but I knew not how to be sorry she did not ac- company us, for she is — I mutt not fay what, but very unlike other people.",alex,,
287,"Why, this thing "" — stroking her dark sables gently — ""must have cost more than the whole annual allowance I shall be able to give you, my poor child."" "" Oh, but it isn't paid for,"" answered Nina, placidly. This was hardly the sort of argument to reassure a prudent economist. *' It will have to be paid for, though,"" he submitted, with a shade of anxiety in his tone. "" Oh, yes ; some day. I don't let my trades- men bother me.",alex,,
292,"Paul and Halliday retired into a small recess in the interior of the cavern ; they were soon joined by several mariners whose heads had been left untouched by the liquor-cup. The following con- versation took place, and the ears of Maud drank in every sound with an anxiety amounting to pain. '' Weel, Paul, man,"" said a stout weather-beaten personage from the Mull of Galloway, — wee), man, and what's the grand tidings which ye have brought frae the west ? What prime news hae ye frae the great western continent, as Willie Macdowell called it — Ye wad ken Willie — a great scholar — spoke for ever, and called the sun the chief luminary of heaven, and the moon the lesser light, and the Wild Goose free trader a winged palace that walked on the great deeps. Aweel, what""*s your tidings frae the great western continent ? What says the seed of yea and nay, of grave Penn, and half-hang- ed Habbie Hempseed, to their rum free frae duty and their tea free frae tithe .'*"" "" Macgubb,"""" said Paul, '' you have resolved the great question of human freedom into one of strong drink. Yes, the descendants of the wise and valiant men, whom the folly of our former kings drove into the great American wilderness, are resolved to do something worthy of their fa- thers.",alex,,
297,"Is it the end ? Is it all really over ? There had been a faint flicker of the dymg candle — a tiny glare — and now — for all time is it to be dark- ness ? As for her ; ever since he had let her hand go, she had stood with bent head looking at it. He had taken it — he had let it go. There seemed to be a promise of Heaven — was it a false one ? She is silent.",alex,,
