passage.number,passage,annotator,nondomestic,notes
251,"It was amazing to me, that his sensations, so contradictory to the absurd crotchet he had taken into his head, did not convince him of his error, especially when so frequently com- pelled to act in obedience to long accustomed impulses. As, for instance, on my rising to go, he suddenly started from his chair, shook my hands, and accompanied me to the door, as if nothing had been the matter. "" Well now ! What do you think of that ? "" said I, triumphantly. "" Ah, ah !"" said he, after a puzzled pause, "" but you little know the effort it cost me ! "" * # * * He did not persevere long in the absurd way of putting on his clothes which I have just described ; but, even after he had discontinued it, he alleged his opinion to be, that the front of his clothes ought to be with his face ! I might relate many similar fooleries springing from this notion of his turned head, but sufficient has been said already to give the reader a clear idea of the general character of such delusions. My subsequent inter- views with him, while under this unprecedented hallucination, were similar to the two which I have attempted to describe.",mark,,
252,"Definitively then, you will not allow me to write to the minister?"" *^ If I permitted all my prisoners to write to his Excellency, his whole time would be lost in reading petitions, and / should deserve to lose my place. I have heard enough. '' "" One word more, Captain ! If the words of a honest man possess any value in your eyes, I swear to you that the honour, life, and for- tune, of the Count von Spulgen, as well as the repose of another whom I will not now name, are at this moment in the greatest danger ! If, this day, the minister do not get my letter, to- morrow he is lost!""",alex,,
253,"to be mixed up with such a very old- fashioned figure, at the very moment of first showing ourselves ! Will it not be running into danger ? "" "" It is no good to talk about it, Maria,"" he re- plied, with an impatient action of both reins and whip. "" You may depend upon it that there are many fashionable young people, besides ourselves, who have quizzical governors. It is one of the things one must bear, you know, like the toothache, or anything else that can't be helped. It's no good to grumble.",jessica,,
254,"I say, he's — he's — very quiet, isn't he ? "" asked the breathless equestrian, as the horse sidled away amongst his old friends the hounds, snorting, shaking his head, and "" reaching "" at his bridle, in a manner which much discomposed the security of his rider's seat. "" These large horses require a deal of holding,"" added he, half ashamed of his want of skill in the manege^ as, with mounting colour, he knotted his reins and crammed his hat down upon his head in a '' do-or-die "" sort of fashion which was anything but suggestive of a pleasant .excursion ; but the Doctor was now in for it, and being a gallant little fellow at heart, there was a game sparkle in his eye that, with all his misgivings as to the result, showed he ""meant mischief."" My attention, however, was soon taken up with the many and onerous duties of my posi- tion ; and, after mucli consultation with the sporting agriculturists who constituted my field, we hastened to dispose ourselves over the surrounding country, and spread abroad in every dKcction, peeping into furrows and lash- ing turnip-tops, in the orthodox manner of performing that not very enlivening ceremony denominated *' drawing for a hare."" The farmers were a capital set of fellows, thorough sportsmen one and all ; the country, a ^^dld district, with few resident landlords, and totally unpreserved. Com^sing was a favourite amusement with the aboriginal in- habitants ; and I have no doubt that whenever a poor man wanted a brace of partridges or a pheasant, he went to look for them without more ado. All this might be very pleasant, but, as may be supposed, was not conducive to the superabundance of game.",svenja,,
255,"Will not the reader tire, if I should minutely describe our long-drawn journey from Paris to Geneva? If, day by day, I should record, in the form of a journal, the thronging miseries of our lot, could my hand write, or language afford words to express, the variety of our woe; the hustling and crowding of one deplorable event upon another? Patience, oh reader! whoever thou art, wherever thou dwellest, whether of race spiritual, or, sprung from some surviving pair, thy nature will be human, thy habitation the earth; thou wilt here read of the acts of the extinct race, and wilt ask wonderingly, if they, who suffered what thou findest recorded, were of frail flesh and soft organization like thyself. Most true, they were—weep therefore; for surely, solitary being, thou wilt be of gentle disposition; shed compassionate tears; but the while lend thy attention to the tale, and learn the deeds and sufferings of thy predecessors. Yet the last events that marked our progress through France were so full of strange horror and gloomy misery, that I dare not pause too long in the narration. If I were to dissect each incident, every small fragment of a second would contain an harrowing tale, whose minutest word would curdle the blood in thy young veins.",matt,,
256,"The shore was bold and winding ; his steps sometimes circled round a jutting point, and the next moment descended into a grassy glen, while the stream ran calm and silently by. Seating himself on a moss covered rock, close to the water's edge, he watched the rays of the sun slowly steal over the scene. Hearing the soft sound of approaching steps, he turned, and saw Catherine Dawnay ad vane- ing along the shore. The calmness and fresh- ness of the morning had led her to choose this path, and she walked on slowly, unconscious of the presence of a being in the place. Her eyes were bent thoughtfully on the ground, and the rich colour that always wantoned in her cheek was heightened by the pure breeze; her air and step were those of a proud woman, yet of one whose pride at this moment was combated by a more master passion. ""Is it you P' 1 she said hurriedly, as her look was turned for a moment on his moveless figure. "" I had not thought to find a human being in this lonely path ; but midnight and sun-rise are your wandering hours.",mark,,
257,"This reason cannot yet be mentioned— he had hardly revealed it to himself—it was deep down in his soul—to be or not to be—as circumstances, time, and the hour should decide. After having lived so long in retirement, our young hero, when he was to go into company again, had many fears, that his manners would appear rustic and unfashioned. With all these apprehensions as to his manners, there was mixed a large proportion of pride of character, which tended rather to encrease than to diminish his apparent timidity. He dreaded that people should value him, or think that he valued himself, for his newly acquired fortune, instead of his good qualities—he feared that he should be flattered—and he feared that he should like flattery. —In the midst of all these various and contradictory apprehensions, he would perhaps have been awkward and miserable, had he been introduced into society by one who had less knowledge of the world, or less knowledge of the human, heart than Sir Ulick O'Shane possessed. Sir Ulick treated him as if he had always lived in good company. Without presupposing any ignorance or any difficulty, he at the same time always took care to warn him of any etiquette, or of any modern fashion, so that no one should perceive the warning but themselves.—",alex,,
258,"Had it been an appeal to my wife it would have proved your assertion. But he showed it to her in confidence — she lost it — Bennett found it. You, wishing to believe evil, saw evil. That is all.' "" You believe that story ? "" ""I believe it."" ""It must be your interest to do so."" "" Think what you please !",jessica,,
259,"Dick should be more careful of his health. A man, whose life is of greater consequence than a prime minister's, to go about raking as he does ! Its a thousand pities !"" C 2 "" So Fve told him, my Lord, over and over again. ^ D — n it, Dick,' says I, ^ Think o' your wife, and the precious babies ! For put ""Curse your morahties, Jem/' interrupted the Earl. """,svenja,,
260,"“If I talk or am silent, is there any change?” Yet he lay quiet for a long time. The light through the open door showed him to her, where he lay, with his arm thrown across his eyes. At last he spoke. Perhaps it was relief to him to speak. To Bloemfontein in the Free State, to which through an agent he had traced them, Gregory had gone. At the hotel where Lyndall and her stranger had stayed he put up; he was shown the very room in which they had slept.",matt,,
261,"BY JOHN MILLS, AUTHOR OF "" THE OLD ENGLISH GENTLEMAN, COUNTY,"" &C. IN THREE VOLUMES. VOL. in. LONDON: COLBURN & CO., PUBLISHERS, 13, GREAT MARLBORO UGH STREET. 1852. Notice is hereby given, that the Publishers of this work reserve to themselves the right of publishing a Translation in France. M. S. MYERS, PRINTER, 22, TAVISTOCK STREET, COVENT GARDEN.",mark,,
262,"In 2 vols. 8vo. Price 1^ lOs. in Boards. ANECDOTES of the MANNERS and CUSTOMS of LON- DON from the roma\ INVASION to the Year ;700; including the Origin of British Socif.fy, Cnstoms, and Manners. A general Sketch of the State of P.e>i- gion. Snperstilion, Dresses, and Ainnsements of the Citizens of London, during that Period.",alex,,
263,"She hurried after him, and called him by his name. * Bill.' Bill turned round sharply ; it was an unusual thing for any one to accost him in the street ; but when he saw that it was Bachel, he was astounded. ' ""Well, I'm curst if it ain't Bachel. I'll be bound ! ' And by way of expressing his amazement^ he stuck his hands deep in his breeches pockets, and fetched his shoulders up about his ears. ' How is father.",jessica,,
264,"Oh, it's nothing ! — He'll get well fast enough. Upon my soul, I did not think you cared much about him ; and the insult to Marion quite put him out of my head. I dare say, we shall hear in a day or two, that he is as well as ever."" I could gather little more from his idle, unconnected way of talking, and a mysterious paragraph in the newspapers, in which no names were given. The next morning brought me more accurate tidings.",svenja,,
265,"He went forward the more carelessly, I must suppose; for presently we saw him sink a little down, draw up his feet and sink again, and so twice. Then he turned his face to us, pretty white. “Lend a hand,” said he, “I am in a bad place.” “I don't know about that,” says Ballantrae, standing still. Dutton broke out into the most violent oaths, sinking a little lower as he did, so that the mud was nearly to his waist, and plucking a pistol from his belt, “Help me,” he cries, “or die and be damned to you!” “Nay,” says Ballantrae, “I did but jest. I am coming.”",matt,,
266,"I think I see your surprise when you read this — your utter incredulity ; and yet, my love, it is true. Some time, I may be able to explain the mys- tery of this ; in the mean time, believe any- thing rather than that I am acting basely — or even inconsistently with all I have spoken and written to you on these subjects ; for I swear to you that I had no thought of this till this very day — could not have conceived it possible that it should come before me, not only as a duty, but as an imperious necessity. God bless you, dearest — bless you all ! You shall hear from me soon again : in the mean time think as little badly of me as you can, and always love me. I have greater need of your love than ever."" Without intending, or even being himself quite conscious of the fact, George's letters to Lis sister had altered a good deal both in style and sentiment, in consequence of the feelings he had taken back to town with him at Christmas. There was less of the pretended hardness and customary slang in which young men often choose to indulge, to the injury and disguise of their natural sentiments, and a great deal more of truth and reality.",mark,,
267,"§s. — Or to accom- modate those purchasers who desire the parts separate- ly — The Animals, 4 vols. Si. 10s. — The Vegetables, 2 vols. 2l. 2s. — The Minerals and Life, lOs. 6d. *' Thus may our Life, exempt from public haunt, ** Find tons^ucs intree>, books in the running brooks, *' sermons in stones, a,nd good in every thing."" Shakespeare. The sphere of this great man's studies was no less exten- sive than all the productions of Nature '.",alex,,
