passage.number,passage,annotator,nondomestic,notes
253,"to be mixed up with such a very old- fashioned figure, at the very moment of first showing ourselves ! Will it not be running into danger ? "" "" It is no good to talk about it, Maria,"" he re- plied, with an impatient action of both reins and whip. "" You may depend upon it that there are many fashionable young people, besides ourselves, who have quizzical governors. It is one of the things one must bear, you know, like the toothache, or anything else that can't be helped. It's no good to grumble.",jessica,,
258,"Had it been an appeal to my wife it would have proved your assertion. But he showed it to her in confidence — she lost it — Bennett found it. You, wishing to believe evil, saw evil. That is all.' "" You believe that story ? "" ""I believe it."" ""It must be your interest to do so."" "" Think what you please !",jessica,,
263,"She hurried after him, and called him by his name. * Bill.' Bill turned round sharply ; it was an unusual thing for any one to accost him in the street ; but when he saw that it was Bachel, he was astounded. ' ""Well, I'm curst if it ain't Bachel. I'll be bound ! ' And by way of expressing his amazement^ he stuck his hands deep in his breeches pockets, and fetched his shoulders up about his ears. ' How is father.",jessica,,
268,"Granby was about to express his doubts with considerable warmth, but prudence checked his tongue. Trebeck carelessly proceeded. "" Ay, there she did not judge amiss. Chesterton was worth encouragement. Old Banbury, the father, has thirty thousand a year at least. Mamma had probably drilled her a llittlande and I don't know whether she might not have caught hirn, if she had gone on as prudently as she began ; but she is not sufficiently practised yet."" ""Do you think then,"" said Granby, with suppressed emotion, "" that she is likely to be- come one of your mere establishment-seekers ?"" """,jessica,,
273,"Before the fever broke out, they were often thrown ^' ^ together. together, and she heard, as it was intended she should hear, that their names were very often mingled. Florence Seton, if she could not hear this without a blush — for she was not wholly sorry to hear it — had no cause to blush, for any share that she had had in giving foundation to what was said. She had gone to the work that St. Hilda's offered, without any thought of what might come of it as regarded Crispin ; but she felt that his society did not certainly pre- vent her going on; and then she heard what she had hardly liked to put to herself, his name w4th hers. They sounded very well together. Florence Seton kept to herself her own thoughts; and her manner towards Crispin, was just w hat that of a woman so circumstanced should always be.",jessica,,
278,"Tell Manie I am coming directly, hearie ? "" "" Who gave the child that ridiculous name ? "" asked Louis. * Calalue — anglice, spinach. T 2 "" My gorfaders and gormoders,"" began Calalue. "" Go, go ; massa has not time to hear you now,"" said Stella. "" We must go also, Louis,"" offering her arm, "" for Rebecca never stays long."" As he rose, the remembrance of his bodily infirmity flushed his face.",jessica,,
283,"What I particularly wish to impress upon you is the expediency of confining the future educa- tion of Miss Ella Ashton to the simply useful. It will be most ill-advised to persist in a course of accomplishments totally incompatible with her probable after-position ; and, indeed, all possible competition with her cousins must be carefully avoided. The sooner she is taught to understand the difference in their prospects, the more easily she will become reconciled to what cannot be repaired."" "" It is a sad pity !"" sighed madame, half sorrowfully, and half indignantly ; "" for she is full of talent and enthusiasm."" ""I am sorry to hear it;"" was the hard reply ; "" as neither the one nor the other is Ukely to profit her in the world. Be that as it may, however, you now know my sentiments and feeKngs upon the subject, and you will much oblige me by acting accordingly."" "" It will be a terrible blow to the poor dear child ;"" said the Frenchwoman. """,jessica,,
288,"Of her few faults, perhaps the great- est is that she seldom knows her own mind, where her lovers are concerned, and will blow hot and cold, and merry and sad, and cheerful and petulant, all in one breath as it were. Poor lovers ! they have a hard time of it with her as a rule. But youth is often so, and the cold still years, as they creep on us, with dull common sense and deadly reason in their train, cure us all too soon of our pretty idle follies. Just now she was bent on rebuffing him, but you see her strength failed her, and she spoiled her effect by the smile she mingled with the rebuff'. The smile indeed was so charming, that he remembers nothing but it, and so she not only gains nothing, but loses somethmg to the other side. "" Well, I'll try to mend all that,"" says he, but SO lovingly, and with such unaffected tenderness that she quails beneath his glance.",jessica,,
293,"He was not blind to the soft beauties of Isis, the first time he beheld her, and finding her fa- ther inflexible in virtue, he despaired of possessing her in any way, while such a protector lived ; therefore he had a dou- ble motive for removing Vedova out of his path. It was not likely Isis and her mother could ever be informed of any transactions within the Inquisition, and of course the treachery of Leolfo could not be suspected. His errand was, to feast his eyes once more with the deli, cate charms of Isis, before he fixed his determination. Her father once re- moved, he saw no obstacle to his wishes, and putting on the mask of friendship, he offered his protection to those he had plunged in the bitterest wo. He ap- peared to take a friendly leave, promi- sing to see them on the morrow. As donna Vedova knew not of the part part Leolfo had acted, she did not in- quire of him intelligence of her husband; but the moment Gustavus entered, she read the fatal news in his sunken eye and altered countenance. — """,jessica,,
298,"While he is considering how to reform the drunkards he quite forgets what is to become of the pubHcans. Thousands of them as there are — thousands and thousands."" ** They are much to be pitied. But still, if it is the will of Pro\ddence, they will have eventually to go to the wall."" *^ Providence,"" said Sarah, not irrever- ently, *' must be allowed to do as it pleases. But I do not and cannot see how you find out what that pleasure is till it is made manifest.",jessica,,
303,"Lady Sylvia seemed to be very earnest on this matter. After all, said she, it was the lot of women to suffer. Those who seemed to be most fortunately placed in the world had doubtless their secret cares ; there was nothing for it but to bear them with a brave heart. A wife could not lessen the anxie- ties of her husband by sharing them ; she would more probably increase them by her womanly fear and exaggeration. It was not to be expected that a woman should be constantly intermeddling in affairs of which she could not possibly be a fair judge. A great many wives thought they were neglected, when it was only their excessive vanity that was wounded : that was foolish on the part of those wives. U.s,w, Lady Sylvia talked bravely and gladly.",jessica,,
308,"But his father, of course, will have a voice on this point, which brings me to the strongest reason I have to offer for your coming down here. I know, as well as you do, my dear friend, that your doing any thing for her in the way of giving money (excepting just for a few smart dresses) is perfectly out of the question, — nor do I believe that she expects it. But this may not be equally clear to Colonel Dermont, and when the offer has been made in form, which we are hourly expecting, he will doubtless think it proper to communicate with you. Now it strikes me, that the only means of avoiding such a direct application as must be replied to by a direct answer, will be your coming amongst us in person. And then, you know, nothing can be easier than for you to say, not as a matter of business, but as mere affectionate chit-chat, that if Amelia marries well, and to your satisfaction, you shall ever treat her as your own child ; and so I dare say you will — for were she ten times your child, you could not give her what you have not got. Should the colonel desire you to specify what you will do for her, I shall recommend you to reply that it is not your intention to do any thing during your life, but that you shall take care to do your duty by her in your will. What renders your making this effort exceedingly desirable, is the disagreea- ble fact, that Amelia is so deeply in debt as to render it probable she will be arrested, unless the speedy prospect of a good mar- riage shall set her various creditors at rest, as to their doubts of obtaining payment.",jessica,,
313,"By all means. I can manage to dig, I suppose."" ""I don't know that, but Karl will shew you how ; and meantime, what do you think of this fragment? Quite organ music, is it not Alice?"" "" Ouite,"" said Alice. "" I can't see any tune in it/* said Captain Scudamore. ""Now there's a bad revengeful disposi- tion ! "" exclaimed Maud, "" he is angry with me, and he vents his temper upon poor Spohr.""",jessica,,
