passage.number,passage,annotator,nondomestic,notes
255,"Will not the reader tire, if I should minutely describe our long-drawn journey from Paris to Geneva? If, day by day, I should record, in the form of a journal, the thronging miseries of our lot, could my hand write, or language afford words to express, the variety of our woe; the hustling and crowding of one deplorable event upon another? Patience, oh reader! whoever thou art, wherever thou dwellest, whether of race spiritual, or, sprung from some surviving pair, thy nature will be human, thy habitation the earth; thou wilt here read of the acts of the extinct race, and wilt ask wonderingly, if they, who suffered what thou findest recorded, were of frail flesh and soft organization like thyself. Most true, they were—weep therefore; for surely, solitary being, thou wilt be of gentle disposition; shed compassionate tears; but the while lend thy attention to the tale, and learn the deeds and sufferings of thy predecessors. Yet the last events that marked our progress through France were so full of strange horror and gloomy misery, that I dare not pause too long in the narration. If I were to dissect each incident, every small fragment of a second would contain an harrowing tale, whose minutest word would curdle the blood in thy young veins.",matt,,
260,"“If I talk or am silent, is there any change?” Yet he lay quiet for a long time. The light through the open door showed him to her, where he lay, with his arm thrown across his eyes. At last he spoke. Perhaps it was relief to him to speak. To Bloemfontein in the Free State, to which through an agent he had traced them, Gregory had gone. At the hotel where Lyndall and her stranger had stayed he put up; he was shown the very room in which they had slept.",matt,,
265,"He went forward the more carelessly, I must suppose; for presently we saw him sink a little down, draw up his feet and sink again, and so twice. Then he turned his face to us, pretty white. “Lend a hand,” said he, “I am in a bad place.” “I don't know about that,” says Ballantrae, standing still. Dutton broke out into the most violent oaths, sinking a little lower as he did, so that the mud was nearly to his waist, and plucking a pistol from his belt, “Help me,” he cries, “or die and be damned to you!” “Nay,” says Ballantrae, “I did but jest. I am coming.”",matt,,
270,"Let the world be fully apprized of it, lest there should be some mistake or doubt about it here- after."" Mr. Robinson would have looked foolish, but that his consternation was too great to admit of the manifestation of any minor emotion. He arose, and walked to the door of the office, which he opened stealthily, and having satisfied him- self that neither Jeffries nor his companion, Hunsman, were listening, a frailty to which the former, as Robinson well knew, was especially prone, he silently returned to his seat. *' Well, Mr. Robinson."" said Bouverie, after a long pause, taking out his watch ; '* my time is precious. I presume the business between us is for the present settled. I am now about to call upon my solicitor, to whom I beg to refer ^ou in the further stages of this m.atter.""",matt,,
275,"It is necessary to say a word or two about Mrs. Norris. She had been a singer of some eminence ; and between her professional talents and, we may add, ses beaux yeux, very discreetly applied, had realized an income sufficient for her wants and those of her daughter, and which permitted her to indulge in some few luxuries besides, exclu- sively of the little suppers — to one of which we are about to introduce the gentle reader. Mrs. Norris was quite a person of good cha- racter, not such, perhpas, as would be personified in the beau ideal of Mrs. Chapone, or of Mrs. Hannah More, but still, as has been said, she had made use of ses beaux yeux with such un- common discretion, that the most censorious persons could find nothing worse to say of her than that, during ten years of her life passed in Italy for the improvement of her singing and for her health, she was very much admired, very gay, and delightfully amiable. Some, indeed, thought she was more particularly appreciated by a noble- man of large fortune, devoted to the fine arts; but nothing certain was ever known on this score. The said nobleman married precisely at the same period that Mrs. Norris's husband returned from America, where he had been acting Othello and King John, George Barnwell and Scrub. Mr. Norris, however, was a wretch of whom we will not speak, for all agreed that he behaved scandalously to his wife, and, in fact, he was said to have abandoned her. As to Emil}-, who was born during the ten years, — Mrs. Norris's ten years in Ital}^",matt,,
280,"Ccunfrg fife. BY WILLIAM HOWITT. IN THREE VOLUMES. VOL. III. LONDON : CHAELES W. WOOD, 13, TAVISTOCK ST., STEAND.",matt,,
285,"Having effected the reunion of Raymond and Perdita, I was eager to return to England; but his earnest request, added to awakening curiosity, and an indefinable anxiety to behold the catastrophe, now apparently at hand, in the long drawn history of Grecian and Turkish warfare, induced me to consent to prolong until the autumn, the period of my residence in Greece. As soon as the health of Raymond was sufficiently re-established, he prepared to join the Grecian camp, near Kishan, a town of some importance, situated to the east of the Hebrus; in which Perdita and Clara were to remain until the event of the expected battle. We quitted Athens on the 2nd of June. Raymond had recovered from the gaunt and pallid looks of fever. If I no longer saw the fresh glow of youth on his matured countenance, if care had besieged his brow, if his hair, slightly mingled with grey, and his look, considerate even in its eagerness, gave signs of added years and past sufferings, yet there was something irresistibly affecting in the sight of one, lately snatched from the grave, renewing his career, untamed by sickness or disaster. The Athenians saw in him, not as heretofore, the heroic boy or desperate man, who was ready to die for them; but the prudent commander, who for their sakes was careful of his life, and could make his own warrior-propensities second to the scheme of conduct policy might point out. All Athens accompanied us for several miles.",matt,,
290,"Yes, but,"" the others began at once, "" clo you want to go and do likeAvise ? "" <fc Yes I do in a way,"" shouted Torrington, jumping up. ""I don't want the thing to smell exactly, but I want to do what I can do best. And I'm a morbid analyst by nature, a dissector, a vivisectionist, and I hate the Young Person most devoutly. But these poor ignorant beasts don't know who the Young Person is."" And he launched into a consecutive diatribe against the novelist's bugbear, which was wonderful considering he was undoubtedly drunk. Presently he stopped and looked at his audience.",matt,,
295,"“They crack the City bubbles and bladders, at all events,” Mr. Fenellan said. “But if we let our journals go on making use of them, in the shape of sham hawks overhead, we shall pay for their one good day of the game with our loss of the covey. An unstable London's no world's market-place.” “No, no; it's a niggardly national purse, not the journals,” Mr. Radnor said. “The journals are trading engines. Panics are grist to them; so are wars; but they do their duty in warning the taxpayer and rousing Parliament. Dr. Schlesien's right: we go on believing that our God Neptune will do everything for us, and won't see that Steam has paralyzed his Trident:—good!",matt,,
300,"Lizzie's defences were entirely overthrown. Her look of indignation faded off her face, to be replaced by a quick crimson blush, which as rapidly disappeared and left her features as pale as marble. She made a hurried step towards her brother, and fell sobbing on his neck. "" Oh ! Bertie, Bertie !"" she sobbed out, be- tween a series of little gasps. "" There, there, don't cry ! my darling little Lizzie.",matt,,
305,"This seems to me a very strange and unhappy affair altogether,' he exclaimed sud- denly, relieving himself of the tension on his mind and throwing himself into a chair. ' Since you give me such generous license, I may explain myself fully. I heard an extraordinary rumour to-day. It was to the effect that your husband had once been en- gaged to marry Mrs. Severn. Of course I did not give it a moment's credence, but it is most unfortunate that any slanderous rumours should arise now and form the nucleus of a scandal. Cynthia, you know that for you to be associated with such would be a heavy grief to me.' '",matt,,
310,"Ma'am, as how you was caged too ; and Avhen once her Ladyship got a hold, she was like a terrier, for she r.lver let go again ! I'm sure I can't bear the thoughts of being mewed up after such a fashion : and if you don't like to speak to her Ladyship, Ma'am, why indeed I nruit, tliough I'd do any thing to sarve you, I'lii sure."" *' But, ivy poor Dolly,'* said lier vouno' Ladv, '* if you should be dis- ** M hy, I\ Ia'am, if you come to that, '^^ interrupted Mrs. Msfunder, hastily, '*wh(> lias a rio'ht to dibchar^e mic but vou, I wonder? Sure she don't take it into her head that she""s my mistress?",matt,,
315,"Some country air will do you all the good in the world. That gallery must be tiresome. Do you use shorthand?” “A sort of shorthand of my own,” said Egremont. “I trust a good deal to my memory.” “Ah! you are young.",matt,,
320,"— and I'd rather be a rude tomboy than a great girl, bai Jove, Mr. Max!' cried Nelly; whereupon Mr. Bray laughed, Mrs. Bray scolded, and Nelly pretended to cry, directing a comical look the while at her father, who, whatever his weakness, was passionately fond of his girls. The crunching of the gravel by the wheels of the wagonette put a stop to the rather unpleasant scene, when, to Laura's surprise. Max jumped up and handed Ella down to the carriage, returning afterwards for his sister, who favoured him with a pe- culiarly meaning look ; one which he replied to in as supercilious a manner as he could assume. ' What does it mean, Max ?' she whis- pered, as they descended the stairs. ' More affection for your little sisters?' 'My dear Laura,- drawled Max, ^",matt,,
325,"It seemed as if hell had sent forth its legions. And now hundreds raised their voices, uttering awful impre- cations, pelting me with bats, sticks, mud. In a few moments I must have fallen a victim to the populace had not my men-at- arms cut a passage for my escape through the crowd, not, however, without injury to several of the mob. From that hour my popularity was gone, and I became an object of hatred to the people by whom I had so lately been worshipped. Freida, I have dwelt on this scene ; for though at the time it caused in my heart no sentiment but indignation, my mind now often reverts to it. To be brief, for I feel exhausted ; all in which I engaged from that period proved unfortunate. The war with Flanders, solely regulated by my counsels, was unsuccessful ; the spirit of Louis broke under my tyranny, and which he had not sufficient energy to cast off.",matt,,
330,"The guards were doubled in and about the palace ; a regiment of trusty soldiers was summoned from Stirling and quartered in the town to be ready for any emergency to co-operate with the royal guards ; the King did not stir abroad, but took his exercise in the quadrangle, and that only when the troops were under arms. The Queen passed through the town several times, with no more than her ordinary attendants, as if to show her con- fidence in the people ; but it was noticed that the good lady was unusually pale, and that despite her effort to seem content, an expression of sorrow was on her counten- ance. It was pitiable to see the anxiety with which she watched her son. Prince James, then only aged about eight years, and who, in happy ignorance of the brood- ing turmoil around him, was blithe and mischievous as a child should be. Several nobles fled from the court at the first tidings of the catastrophe, and fearing that they might be implicated in it, either took immediate refuge in France, or in their own strongholds, gathered their re- tainers about them, and prepared for war. Others of the barons remained doggedly in attendance — amongst them Angus — but there was gloom upon their brows ; they wore stout hauberks of steel under their coats, they had various weapons secreted about their persons, so that whilst they appeared to wear only their swords — to which they were restricted in the presence of the King in time of peace — they were in reality armed to the teeth ; and they kept their followers ready to spring to their rescue at the first bugle note of alarm. This state of matters continued for several days, during which nothing de- cisive occurred.",matt,,
335,""" exclaimed she. '' Yes, I met Alice ; at least,"" said he, stooping down to settle the log on the fire, ""I saw her the last evening I was at Naples."" "" Tell me all about it."" "" There's no all. I met her, we talked together for half an hour or so, and we parted ; there's the whole of it."" "" She had heard, I suppose, of your good fortune?"" "" Yes, Skeff had told them the story, and, I take it, made the most of our wealth ; not that rich VOL.",matt,,
