passage.number,passage,annotator,nondomestic,notes
751,"Some weighty matter was evidently before his mind. Suddenly he seemed to see light. With an air of great good fellowship, he exclaimed, — ' As sure as my name is Mr Mungo Mauch- line, and if I am anny joodge of the weather, .this is a shuperfine day.' There was really nothing special about the day; but Mr Mungo Mauchline objected to undue familiarity ; and this was his way of making known how he chose to be called. 'It's a geyan coorse day,' returned Mrs Gillespie, in an injured tone ; thinking of the effects of that draught upon her ' hoast.' ' Yes, there is a wind into it, I own,' granted Mr Mungo Mauchline, as if the day were his, and he responsible for the quality of it ; ' there is a little wind into it too — nut a rantin', tantin', tearin' wind ; but a nookin', soughin', wurnin' wind, as the minister in the story says.' ' Jist a wheen claivers, a' thae stories aboot ministers,' cried Mrs Gillespie tartly ; ' min- isters is nane dafter nor ither folk, an' no sae daft as some, Mungo.' '",mark,,
756,"But my monkey was up, and I was determined to see what it was, so I lit a candle and went back. Then, by groping about, I discovered that secret passage leading through into the other side ; and, never hesitating, I explored it at once, and the next minute found myself in the opposite bed-room ; but, raising my candle a little, I saw a female in bed, and so hooked it out again sharp; though I must tell you that, just as I got through into her room, I twigged the door at the further side closing on somebody in the act of going out."" ""This is most extraordinary,"" exclaimed Agnes, with a look of alarm ; "" for they tell me that Lizzie's door was found unfastened this morning, and she declares she locked it last night."" "" Go on, boy, go on ; is that all ?"" asked Grumpy, impa- tiently. "" Not quite. I got back to my room (shoved on some clothes, for it was precious cold), and then went straight off to the Rajah's—"" ""You mean the Captain's?"" suggested Grumpy. ""Captain Helfernan's, yes — when I noticed, curiously enough, that my door was standing ajar — "" """,mark,,
761,"Wriothesley, however, greeted him cordially. * I called at the "" Eagle and Child "" this afternoon,' he said. ' I thought I should have seen you there.' * Did you? I fancied you had forgotten all about me. You did not write as you promised. I came here yesterday.' ' When did you meet my aunt and cousin V 6 Bernard introduced me an hour or two ago.' '",mark,,
766,"She is very romantic,"" remarked Miss Sparke, in her soft voice ; "" did your ladyship remark her extraordinary poetic flights when she got upon the subject of her ohl music master ? One feels oneself — he, he ! "" laughed Miss Sparke, "" very common clay indeed in her company ! "" "" She is not usually affected,"" replied Lady Dumbarton, who could be just even when angry. "" Affected ! dear no ! Your ladyship mistakes me. Only a little romantic in her friendship, dear girl."" "" Eomantic in fiddlesticks ! "" exclaimed Lady Dumbarton impolitely. "" She is a fool, that is all.""",mark,,
771,"My Amelia, who was the belt of wives and mothers, endeavoured often to inspire her with a love of neatneSs and ceconomy, but but fhe was too young and thoughtless to give ear to any argument on the subject."" The old man appeared so much affected with what he had related, that Madame de St. Claire begged he would defer the remainder of his history till the afternoon, or another opportunity.. The children appeared greatly intereited in what they had heard. In the molt pathetic parts, Emmiline had been obServed to put her handkerchief to her eyes ; and when De Livré left off speaking, flic jumped upon his knee, and throwing her little arms around his neck, exclaimed, "" Wicked boy! to behave so ill to so good a father! But do not grieve about him now; mamma, I am sure, will always be your friend, and if we are not too young, let us be your friends also? My brother, though a little vain, is a good boy ; the more you know of him, the more you will like him; and you will love Clara too, who I am sure d 2 would would work Sor you with all her heart.",mark,,
776,"It must be so bitterly painful for a parent to be renounced by a child ; and thee, poor rash boy ! how I pity thee ! If she should fall ill, and if thy letter should de- stroy her !"" "" Sir, if you have any humanity, do not conjure up that horrible image again."" "" No, not if thou wilt conjure it away thyself, by writing another and a better letter to thy mother."" "" I should be ashamed to write such a one so soon after the other."" "" No : it is of the first letter thou shouldst be ashamed, not of the second.",mark,,
781,"Julia was not at all immoderate, for she had been schooled, in the matter of love, in the most rigid principles of courtship, and had learnt to restrain her own feelings, and not to be at all surprised or disappointed in the corres- ponding self-restraint on the part of her lover. Morey very soon brought about a revolution in Julia's maidenly consciousness and expect- ations, and he was delighted to find that she quite enjoyed the change, and would respond to him as demonstratively as he could reason- ably expect. Morey was all that her heart could desire, and she was not ashamed now to confess that she loved him very dearly, and would have him whether her uncle approved of it or not. He might disown her and leave her penniless, if he could be so prejudiced and cruel, but have Morey she would ; no sacrifice was now too great to make for love like his. Morey Maguire always had abundance of spirits, and could always make himself agree- able, especially in the society of ladies. His humour was never of that flimsy kind which indicates the consciousness that ladies are always to be entertained by something light and frivolous. He never condescended to this, for he held woman in very profound respect, and with some differences in his feelings, which no woman can reasonably find fault with or resent — for they were purely feelings of greater tenderness and courtesy, — he always treated them as possess- ing equal intelligence with himself, and as participating in the same lively interests of which he himself was conscious.",mark,,
786,"It was a phan- tom with which I was to become familiar indeed, before I had finished with Boule-de- neiofe and his master. It was clear that the demon to whom I had sold myself was incapable of the slightest consideration towards me. He would eat and drink as much as he felt disposed to do, careless of any consequences that might befall me. It was equally evident that he intended to make the most of his bargain, to eat enormously every day, and to drink him- self drunk every night. And I was power- less. Meantime it was becomins: evident that the consequences to me would be as serious as if I were myself guilty of these •excesses. One drop of comfort alone re- mained : my appetite would fail, and my tormentor would be punished where he would feel it most.",mark,,
791,"but he's gone no moor nor half an hour since,"" cried Mrs. Gilsland. ""Bless us awl ! to have a young lady like you come as far, and o'er late, when awl's done ! But he was in grit haste, was Mr. Horry. Come into the fire, and rest yoursel', for the like of them long walks at this hour in the morning, they're no for leddy-birds like you. You'll have heard from the Cornel, miss? And how is he?",mark,,
796,"That would embarrass his flight too much."" "" His flight."" '' Alas ! poor child — that is the rude, but too significant word — yes, flight from his creditors — escape from those proceedings on the part of his creditors which I very much fear would end in worse than flight."" "" Does my mother know ? "" "" No — she suspects nothing of this. She c2 is aware of the great distress your father is in for money ; and has often been obliged to adopt those means advised by an iniquitous steward, which are certain to end in ruin; he has long been battening, as I suspect, upon your father's property — but your mother is still ignorant of the whole extent of the evil and of the rapid approach of the last catastrophe. Yfrits will be out against your father in a few days — I happen to know it with certainty.""",mark,,
801,"But not for long,"" rather sharply. '' Well, I don't know ; if you mean about Ghosty Moore, of course they like one another, and the Moores are fond of Betty, but nothing is positively settled as yet. I would never have got off without her, never have been ready in time ; you really owe her a debt of gratitude, she worked almost day and night, and packed my boxes, and altered my dresses, and thought of every detail down to fans and oranges for the Red Sea. I shall miss her terribly. If there is any hitch about her marrying Ghosty Moore, we must have her out on a visit by and by, what do you think ? "" George became very white, and made no reply. "" I know you like her, for you have often said so, and she TS'ould not be with us very long.",mark,,
806,"if not, get them without delay, "" Memoirs of the Klopstocks,"" lam delighted with the contemplation of two human beings more, exalted and heavenly in their feelings and affections, than any I have met with under similar circumstances. That a man of so rationally pious and glowing a heart should have met with a woman so conge- nial in spirit, is wonderful. This was too perfect a state of happiness to continue ; they were only united here, to pant for a re-union in a more perfect state. How sweetly does one of her letters to Ri- chardson, pourtray her early admiration of Klopstock, as a writer ; her subsequent friendship friendship, and final attachment, all in the genuine openness of a pure and art- less heart. Such as the following, in another letter, is not always the language, I apprehend, of youthful lovers. "" Farewell, my beloved ; I shall think of you to-morrow. The holiest thoughts harmonize with my ideas of you : of you who are more holy than I am ; who love our great Creator not less than I do ; more, I think, you cannot love him.",mark,,
