cur.correlates,cur.frequencies,obs.exp,corpus.frequencies,corpus.counts
bedrooms,0.003445107946715664,1546.935430325302,2.227053488581097e-6,110
bedroom,0.022316643699280356,1148.2056614208518,1.9436103173071393e-5,960
linney,1.1483693155718879e-4,945.34942964324,1.214756448316962e-7,6
conglomeration,1.1483693155718879e-4,709.0120722324299,1.6196752644226162e-7,8
Cromer,1.91394885928648e-4,675.2495926023144,2.834431712739578e-7,14
saline,7.65579543714592e-5,630.2329530954934,1.214756448316962e-7,6
furbelows,7.65579543714592e-5,420.1553020636622,1.822134672475443e-7,9
crochet,1.1483693155718879e-4,405.1497555613886,2.834431712739578e-7,14
trainer,4.5934772622875517e-4,405.1497555613886,1.1337726850958312e-6,56
brewhouse,7.65579543714592e-5,378.139771857296,2.02459408052827e-7,10
cactuses,3.82789771857296e-5,378.139771857296,1.012297040264135e-7,5
cramps,7.65579543714592e-5,378.139771857296,2.02459408052827e-7,10
Dissipation,3.82789771857296e-5,378.139771857296,1.012297040264135e-7,5
drugget,1.531159087429184e-4,378.139771857296,4.04918816105654e-7,20
drumsticks,3.82789771857296e-5,378.139771857296,1.012297040264135e-7,5
gazelles,3.82789771857296e-5,378.139771857296,1.012297040264135e-7,5
handedness,3.82789771857296e-5,378.139771857296,1.012297040264135e-7,5
polities,3.82789771857296e-5,378.139771857296,1.012297040264135e-7,5
refurnishing,3.82789771857296e-5,378.139771857296,1.012297040264135e-7,5
tallat,3.82789771857296e-5,378.139771857296,1.012297040264135e-7,5
athlete,1.1483693155718879e-4,354.50603611621494,3.2393505288452323e-7,16
installation,1.1483693155718879e-4,354.50603611621494,3.2393505288452323e-7,16
tins,1.1483693155718879e-4,354.50603611621494,3.2393505288452323e-7,16
bolsters,7.65579543714592e-5,343.7634289611782,2.227053488581097e-7,11
Jet,7.65579543714592e-5,343.7634289611782,2.227053488581097e-7,11
knowingness,7.65579543714592e-5,343.7634289611782,2.227053488581097e-7,11
yez,7.65579543714592e-5,343.7634289611782,2.227053488581097e-7,11
alphabets,3.82789771857296e-5,315.1164765477467,1.214756448316962e-7,6
carpentry,7.65579543714592e-5,315.1164765477467,2.429512896633924e-7,12
chiaroscuro,3.82789771857296e-5,315.1164765477467,1.214756448316962e-7,6
pullets,3.82789771857296e-5,315.1164765477467,1.214756448316962e-7,6
Reardons,7.65579543714592e-5,315.1164765477467,2.429512896633924e-7,12
sheeting,3.82789771857296e-5,315.1164765477467,1.214756448316962e-7,6
stoppers,7.65579543714592e-5,315.1164765477467,2.429512896633924e-7,12
tanks,3.82789771857296e-5,315.1164765477467,1.214756448316962e-7,6
traceries,3.82789771857296e-5,315.1164765477467,1.214756448316962e-7,6
utterer,3.82789771857296e-5,315.1164765477467,1.214756448316962e-7,6
washstand,3.82789771857296e-5,315.1164765477467,1.214756448316962e-7,6
truckle,3.4451079467156636e-4,309.3870860650604,1.1135267442905484e-6,55
Drops,7.65579543714592e-5,290.87674758253536,2.631972304686751e-7,13
