cur.correlates,cur.frequencies,obs.exp,corpus.frequencies,corpus.counts
cellarage,4.743833017077799e-4,2343.1032732447816,2.02459408052827e-7,10
binns,1.8975332068311195e-4,1874.4826185958254,1.012297040264135e-7,5
cellars,0.005170777988614801,1798.5792731245156,2.8749235943501435e-6,142
rusks,1.8975332068311195e-4,1562.0688488298545,1.214756448316962e-7,6
dungheap,1.4231499051233396e-4,1405.861963946869,1.012297040264135e-7,5
habitant,1.4231499051233396e-4,1405.861963946869,1.012297040264135e-7,5
cellar,0.013472485768500948,1403.8846616065782,9.596575941704e-6,474
Heaps,1.8975332068311195e-4,1041.3792325532363,1.822134672475443e-7,9
Prentices,1.4231499051233396e-4,1004.1871171049065,1.417215856369789e-7,7
efts,1.8975332068311195e-4,937.2413092979127,2.02459408052827e-7,10
Pietà,9.487666034155598e-5,937.2413092979127,1.012297040264135e-7,5
receivers,1.4231499051233396e-4,878.663727466793,1.6196752644226162e-7,8
cellaret,1.8975332068311195e-4,852.0375539071933,2.227053488581097e-7,11
diggers,2.846299810246679e-4,826.9776258510994,3.441809936898059e-7,17
alligators,9.487666034155598e-5,781.0344244149272,1.214756448316962e-7,6
catchers,9.487666034155598e-5,781.0344244149272,1.214756448316962e-7,6
bins,1.4231499051233396e-4,702.9309819734345,2.02459408052827e-7,10
Ancoats,9.487666034155598e-5,669.4580780699376,1.417215856369789e-7,7
Clerks,9.487666034155598e-5,669.4580780699376,1.417215856369789e-7,7
flagellation,9.487666034155598e-5,669.4580780699376,1.417215856369789e-7,7
mechanician,9.487666034155598e-5,669.4580780699376,1.417215856369789e-7,7
viscera,9.487666034155598e-5,669.4580780699376,1.417215856369789e-7,7
shovelling,2.846299810246679e-4,639.028165430395,4.454106977162194e-7,22
Canaries,9.487666034155598e-5,585.7758183111954,1.6196752644226162e-7,8
vintner,4.269449715370019e-4,569.9440394379199,7.4909980979546e-7,37
garbage,1.4231499051233396e-4,540.716139979565,2.631972304686751e-7,13
crimps,9.487666034155598e-5,520.6896162766182,1.822134672475443e-7,9
casks,7.590132827324478e-4,486.87860223268194,1.5589374420067679e-6,77
Courtiers,4.743833017077799e-5,468.62065464895636,1.012297040264135e-7,5
ewers,4.743833017077799e-5,468.62065464895636,1.012297040264135e-7,5
flagstone,4.743833017077799e-5,468.62065464895636,1.012297040264135e-7,5
highroads,4.743833017077799e-5,468.62065464895636,1.012297040264135e-7,5
nonjurors,4.743833017077799e-5,468.62065464895636,1.012297040264135e-7,5
observatory,9.487666034155598e-5,468.62065464895636,2.02459408052827e-7,10
perusals,4.743833017077799e-5,468.62065464895636,1.012297040264135e-7,5
tumbledown,4.743833017077799e-5,468.62065464895636,1.012297040264135e-7,5
wharfs,4.743833017077799e-5,468.62065464895636,1.012297040264135e-7,5
wych,4.743833017077799e-5,468.62065464895636,1.012297040264135e-7,5
