cur.correlates,cur.frequencies,obs.exp,corpus.frequencies,corpus.counts
antichamber,3.658099397876839e-4,430.197863112527,8.503295138218734e-7,42
arabesque,1.0974298193630517e-4,387.1780768012743,2.834431712739578e-7,14
divans,8.047818675329046e-5,331.2523545966458,2.429512896633924e-7,12
mosaics,5.121339157027575e-5,316.1954293877073,1.6196752644226162e-7,8
chambermaid,7.169874819838605e-4,310.64814115283525,2.3080372518022278e-6,114
bedchambers,3.658099397876839e-5,258.1187178675162,1.417215856369789e-7,7
exorciser,3.658099397876839e-5,258.1187178675162,1.417215856369789e-7,7
malachite,5.121339157027575e-5,252.95634351016585,2.02459408052827e-7,10
afrit,4.389719277452207e-5,240.9108033430151,1.822134672475443e-7,9
antechamber,2.9264795183014714e-4,233.13948710614363,1.2552483299275275e-6,62
ponders,2.1948596387261035e-5,216.8197230087136,1.012297040264135e-7,5
sassages,2.1948596387261035e-5,216.8197230087136,1.012297040264135e-7,5
sherbets,2.1948596387261035e-5,216.8197230087136,1.012297040264135e-7,5
chamber,0.017149169977246623,212.93172060182027,8.053835252341459e-5,3978
suites,7.316198795753678e-5,212.56835589089567,3.441809936898059e-7,17
bedchamber,5.121339157027574e-4,209.0548293472445,2.449758837439207e-6,121
nargillies,2.9264795183014714e-5,206.49497429401296,1.417215856369789e-7,7
droppers,3.658099397876839e-5,200.75900278584592,1.822134672475443e-7,9
chambermaids,8.047818675329046e-5,198.75141275798745,4.04918816105654e-7,20
chambers,0.0037824747774046516,189.8641544639311,1.9922005752398178e-5,984
dinging,2.1948596387261035e-5,180.68310250726134,1.214756448316962e-7,6
spatter,2.1948596387261035e-5,180.68310250726134,1.214756448316962e-7,6
washstand,2.1948596387261035e-5,180.68310250726134,1.214756448316962e-7,6
babbies,2.9264795183014714e-5,160.60720222867673,1.822134672475443e-7,9
buhl,2.9264795183014714e-5,160.60720222867673,1.822134672475443e-7,9
conveniency,2.9264795183014714e-5,160.60720222867673,1.822134672475443e-7,9
Councillors,2.9264795183014714e-5,160.60720222867673,1.822134672475443e-7,9
automata,4.389719277452207e-5,154.87123072050971,2.834431712739578e-7,14
Finches,2.1948596387261035e-5,154.87123072050971,1.417215856369789e-7,7
jasper,2.1948596387261035e-5,154.87123072050971,1.417215856369789e-7,7
pediments,2.1948596387261035e-5,154.87123072050971,1.417215856369789e-7,7
valves,3.658099397876839e-5,150.56925208938443,2.429512896633924e-7,12
provostry,5.121339157027575e-5,148.79784912362697,3.441809936898059e-7,17
divan,2.780155542386398e-4,144.54648200580908,1.9233643765018565e-6,95
chintzes,2.9264795183014714e-5,144.54648200580905,2.02459408052827e-7,10
halberts,2.9264795183014714e-5,144.54648200580905,2.02459408052827e-7,10
lameter,1.4632397591507357e-5,144.54648200580905,1.012297040264135e-7,5
quencher,1.4632397591507357e-5,144.54648200580905,1.012297040264135e-7,5
suspences,1.4632397591507357e-5,144.54648200580905,1.012297040264135e-7,5
unrealities,1.4632397591507357e-5,144.54648200580905,1.012297040264135e-7,5
westering,2.9264795183014714e-5,144.54648200580905,2.02459408052827e-7,10
YOUTH,1.4632397591507357e-5,144.54648200580905,1.012297040264135e-7,5
pannels,8.047818675329046e-5,141.9652948271339,5.668863425479156e-7,28
benchers,3.658099397876839e-5,138.98700192866255,2.631972304686751e-7,13
chibouque,4.389719277452207e-5,135.51232688044598,3.2393505288452323e-7,16
seedsman,2.1948596387261035e-5,135.51232688044598,1.6196752644226162e-7,8
bewilders,2.9264795183014714e-5,131.4058927325537,2.227053488581097e-7,11
girandoles,2.9264795183014714e-5,131.4058927325537,2.227053488581097e-7,11
quadrangles,3.658099397876839e-5,129.0593589337581,2.834431712739578e-7,14
arcades,9.511058434479781e-5,126.96650446456199,7.4909980979546e-7,37
accomodation,1.4632397591507357e-5,120.45540167150756,1.214756448316962e-7,6
byeways,1.4632397591507357e-5,120.45540167150756,1.214756448316962e-7,6
conveyancer,1.4632397591507357e-5,120.45540167150756,1.214756448316962e-7,6
Dinners,1.4632397591507357e-5,120.45540167150756,1.214756448316962e-7,6
listenin,1.4632397591507357e-5,120.45540167150756,1.214756448316962e-7,6
marmitons,1.4632397591507357e-5,120.45540167150756,1.214756448316962e-7,6
Observatory,1.4632397591507357e-5,120.45540167150756,1.214756448316962e-7,6
pleasance,1.4632397591507357e-5,120.45540167150756,1.214756448316962e-7,6
summerhouse,1.4632397591507357e-5,120.45540167150756,1.214756448316962e-7,6
tète,1.4632397591507357e-5,120.45540167150756,1.214756448316962e-7,6
shiverings,2.1948596387261035e-5,120.45540167150754,1.822134672475443e-7,9
stalactites,2.1948596387261035e-5,120.45540167150754,1.822134672475443e-7,9
tobacconist,7.316198795753678e-5,116.56974355307182,6.276241649637637e-7,31
ceilings,1.1705918073205885e-4,115.63718560464726,1.012297040264135e-6,50
candelabra,2.9264795183014714e-5,111.18960154293005,2.631972304686751e-7,13
embroideries,2.1948596387261035e-5,108.4098615043568,2.02459408052827e-7,10
mattresses,4.389719277452207e-5,108.4098615043568,4.04918816105654e-7,20
trampers,2.1948596387261035e-5,108.4098615043568,2.02459408052827e-7,10
stoves,3.658099397876839e-5,106.28417794544784,3.441809936898059e-7,17
antechambers,1.4632397591507357e-5,103.24748714700648,1.417215856369789e-7,7
Axminster,1.4632397591507357e-5,103.24748714700648,1.417215856369789e-7,7
Clerks,1.4632397591507357e-5,103.24748714700648,1.417215856369789e-7,7
d'affaires,2.9264795183014714e-5,103.24748714700648,2.834431712739578e-7,14
ells,1.4632397591507357e-5,103.24748714700648,1.417215856369789e-7,7
regality,1.4632397591507357e-5,103.24748714700648,1.417215856369789e-7,7
Sheikhs,4.389719277452207e-5,103.24748714700648,4.251647569109367e-7,21
spectatress,1.4632397591507357e-5,103.24748714700648,1.417215856369789e-7,7
teaboard,1.4632397591507357e-5,103.24748714700648,1.417215856369789e-7,7
armoury,1.4632397591507357e-4,101.79329718718948,1.4374617971750718e-6,71
lustres,5.121339157027575e-5,101.18253740406634,5.061485201320675e-7,25
octagon,3.658099397876839e-5,100.37950139292296,3.644269344950886e-7,18
belligerents,2.1948596387261035e-5,98.55441954941527,2.227053488581097e-7,11
chamberlain,1.0974298193630517e-4,98.55441954941527,1.1135267442905484e-6,55
