cur.correlates,cur.frequencies,obs.exp,corpus.frequencies,corpus.counts
payers,5.9185856271375605e-5,487.22405510485055,1.214756448316962e-7,6
berlingozzi,2.9592928135687803e-5,292.3344330629103,1.012297040264135e-7,5
gillyflowers,2.536536697344669e-5,250.5723711967803,1.012297040264135e-7,5
dandelion,3.382048929792892e-5,238.64035352074316,1.417215856369789e-7,7
hassocks,3.382048929792892e-5,238.64035352074316,1.417215856369789e-7,7
Rectors,3.804805046017003e-5,234.9115979969815,1.6196752644226162e-7,8
gravestones,1.2259927370499233e-4,232.9038065611099,5.263944609373502e-7,26
churchyard,0.0031960362386542827,215.36233813638688,1.4840274610272219e-5,733
adagio,2.536536697344669e-5,208.81030933065026,1.214756448316962e-7,6
axletree,2.536536697344669e-5,208.81030933065026,1.214756448316962e-7,6
festa,2.1137805811205574e-5,208.81030933065026,1.012297040264135e-7,5
headstones,5.4958295109134495e-5,208.81030933065026,2.631972304686751e-7,13
pa'sons,2.1137805811205574e-5,208.81030933065026,1.012297040264135e-7,5
sightseers,2.1137805811205574e-5,208.81030933065026,1.012297040264135e-7,5
solvency,2.536536697344669e-5,208.81030933065026,1.214756448316962e-7,6
tribunes,2.536536697344669e-5,208.81030933065026,1.214756448316962e-7,6
church,0.023834989832715404,201.51874769020986,1.1827678618446153e-4,5842
sectaries,7.186853975809894e-5,197.20973659005853,3.644269344950886e-7,18
churches,0.0015176944572445601,196.23796086309798,7.733949387617992e-6,382
rheumatiz,5.9185856271375605e-5,194.8896220419402,3.036891120792405e-7,15
Tryanites,4.227561162241115e-5,189.82755393695479,2.227053488581097e-7,11
cocoons,3.804805046017003e-5,187.92927839758522,2.02459408052827e-7,10
Commandments,1.3105439602947456e-4,184.94627397857593,7.086079281848945e-7,35
churchyards,9.723390673154564e-5,184.7168121001906,5.263944609373502e-7,26
Camel,2.536536697344669e-5,178.98026514055735,1.417215856369789e-7,7
clacker,2.1137805811205574e-5,174.0085911088752,1.214756448316962e-7,6
criterions,2.1137805811205574e-5,174.0085911088752,1.214756448316962e-7,6
despiser,2.1137805811205574e-5,174.0085911088752,1.214756448316962e-7,6
Egremonts,2.1137805811205574e-5,174.0085911088752,1.214756448316962e-7,6
vestry,7.060027140942662e-4,168.46049110250527,4.190909746693519e-6,207
pews,3.6779782111497696e-4,168.20830473857933,2.186561606970532e-6,108
clarinet,3.382048929792892e-5,167.04824746452022,2.02459408052827e-7,10
handlooms,1.691024464896446e-5,167.04824746452022,1.012297040264135e-7,5
