cur.correlates,cur.frequencies,obs.exp,corpus.frequencies,corpus.counts
closet,0.021815696788098617,1913.9153748537924,1.139846467337416e-5,563
tamarinds,2.628397203385376e-4,1854.6202341526425,1.417215856369789e-7,7
closets,0.002155285706776008,1745.1672367272402,1.2350023891222448e-6,61
fugue,2.628397203385376e-4,1622.792704883562,1.6196752644226162e-7,8
jams,2.628397203385376e-4,1180.2128762789544,2.227053488581097e-7,11
dandelion,1.5770383220312253e-4,1112.7721404915853,1.417215856369789e-7,7
charmers,2.628397203385376e-4,1081.861803255708,2.429512896633924e-7,12
rappings,1.0513588813541503e-4,1038.5873311254797,1.012297040264135e-7,5
caligraphy,2.628397203385376e-4,998.6416645437305,2.631972304686751e-7,13
etceteras,1.0513588813541503e-4,865.4894426045664,1.214756448316962e-7,6
Lobbs,0.0011039268254218577,813.8184311057863,1.3564780339539409e-6,67
canisters,2.628397203385376e-4,811.396352441781,3.2393505288452323e-7,16
mops,1.5770383220312253e-4,778.9404983441098,2.02459408052827e-7,10
circumlocutions,1.0513588813541503e-4,741.848093661057,1.417215856369789e-7,7
drips,1.0513588813541503e-4,741.848093661057,1.417215856369789e-7,7
blotches,1.5770383220312253e-4,708.1277257673725,2.227053488581097e-7,11
transfiguration,1.5770383220312253e-4,708.1277257673725,2.227053488581097e-7,11
ket,2.1027177627083005e-4,610.9337241914586,3.441809936898059e-7,17
slides,2.628397203385376e-4,590.1064381394772,4.454106977162194e-7,22
awls,5.256794406770751e-5,519.2936655627399,1.012297040264135e-7,5
depositories,5.256794406770751e-5,519.2936655627399,1.012297040264135e-7,5
plinty,5.256794406770751e-5,519.2936655627399,1.012297040264135e-7,5
veneer,1.0513588813541503e-4,519.2936655627399,2.02459408052827e-7,10
grubs,1.0513588813541503e-4,472.0851505115817,2.227053488581097e-7,11
odes,2.1027177627083005e-4,472.0851505115817,4.454106977162194e-7,22
acerbity,2.628397203385376e-4,447.6669530713275,5.871322833531983e-7,29
appropriations,5.256794406770751e-5,432.7447213022832,1.214756448316962e-7,6
dowries,5.256794406770751e-5,432.7447213022832,1.214756448316962e-7,6
