cur.correlates,cur.frequencies,obs.exp,corpus.frequencies,corpus.counts
auriculas,5.798996246467884e-5,477.37933431037635,1.214756448316962e-7,6
pleasaunce,4.744633292564633e-5,468.6997100501877,1.012297040264135e-7,5
aloe,2.3195984985871536e-4,440.65784705573196,5.263944609373502e-7,26
gillyflowers,4.217451815613006e-5,416.6219644890557,1.012297040264135e-7,5
groundsel,6.32617772341951e-5,390.5830917084897,1.6196752644226162e-7,8
polyanthus,3.6902703386613806e-5,364.54421892792374,1.012297040264135e-7,5
rosery,3.6902703386613806e-5,364.54421892792374,1.012297040264135e-7,5
externes,4.217451815613006e-5,347.1849704075464,1.214756448316962e-7,6
wallflowers,8.434903631226013e-5,347.1849704075464,2.429512896633924e-7,12
défendue,5.2718147695162584e-5,325.48590975707475,1.6196752644226162e-7,8
gardeners,4.270169963308169e-4,314.7983127202753,1.3564780339539409e-6,67
Mosslands,3.163088861709755e-5,312.4664733667918,1.012297040264135e-7,5
paradises,3.163088861709755e-5,312.4664733667918,1.012297040264135e-7,5
laburnums,8.434903631226013e-5,297.58711749218264,2.834431712739578e-7,14
gardener,0.0029100417527729745,289.7874551385569,1.004198663942022e-5,496
boulevards,3.6902703386613806e-5,260.3887278056598,1.417215856369789e-7,7
healthfulness,2.6359073847581292e-5,260.3887278056598,1.012297040264135e-7,5
ivies,2.6359073847581292e-5,260.3887278056598,1.012297040264135e-7,5
pensionnaires,2.6359073847581292e-5,260.3887278056598,1.012297040264135e-7,5
hollyhocks,7.907722154274387e-5,229.75475982852336,3.441809936898059e-7,17
curator,2.6359073847581292e-5,216.99060650471654,1.214756448316962e-7,6
marigolds,5.2718147695162584e-5,216.99060650471654,2.429512896633924e-7,12
summerhouse,2.6359073847581292e-5,216.99060650471654,1.214756448316962e-7,6
economising,2.108725907806503e-5,208.31098224452785,1.012297040264135e-7,5
marjoram,2.108725907806503e-5,208.31098224452785,1.012297040264135e-7,5
pietà,2.108725907806503e-5,208.31098224452785,1.012297040264135e-7,5
schoolrooms,2.108725907806503e-5,208.31098224452785,1.012297040264135e-7,5
sundial,2.108725907806503e-5,208.31098224452785,1.012297040264135e-7,5
trefoil,2.108725907806503e-5,208.31098224452785,1.012297040264135e-7,5
privet,5.798996246467884e-5,204.5911432758756,2.834431712739578e-7,14
kiosk,6.853359200371135e-5,199.1207918513869,3.441809936898059e-7,17
garden,0.018915271393024336,196.1114096067816,9.645166199636678e-5,4764
gardens,0.0034372232297246006,192.0514146258939,1.7897411671869908e-5,884
fenders,2.6359073847581292e-5,185.99194843261418,1.417215856369789e-7,7
cucumbers,8.96208510817764e-5,184.44201552900907,4.859025793267848e-7,24
berceau,6.32617772341951e-5,183.8038078628187,3.441809936898059e-7,17
Elsé,3.6902703386613806e-5,182.27210946396187,2.02459408052827e-7,10
ferrule,3.163088861709755e-5,173.5924852037732,1.822134672475443e-7,9
gli,2.108725907806503e-5,173.5924852037732,1.214756448316962e-7,6
offshoot,6.32617772341951e-5,173.5924852037732,3.644269344950886e-7,18
