cur.correlates,cur.frequencies,obs.exp,corpus.frequencies,corpus.counts
Dinners,2.0205898101655873e-5,166.33703101268594,1.214756448316962e-7,6
Innovation,1.683824841804656e-5,166.33703101268594,1.012297040264135e-7,5
linney,2.0205898101655873e-5,166.33703101268594,1.214756448316962e-7,6
minnow,2.0205898101655873e-5,166.33703101268594,1.214756448316962e-7,6
whittaws,1.852207325985122e-5,152.47561176162878,1.214756448316962e-7,6
bairnies,1.5154423576241904e-5,149.70332791141735,1.012297040264135e-7,5
ihacek,1.683824841804656e-5,138.61419251057163,1.214756448316962e-7,6
nuity,2.1889722943460528e-5,135.1488376978073,1.6196752644226162e-7,8
Veneerings,8.419124209023281e-5,134.14276694571447,6.276241649637637e-7,31
erls,1.347059873443725e-5,133.06962481014875,1.012297040264135e-7,5
Genevoise,1.347059873443725e-5,133.06962481014875,1.012297040264135e-7,5
Refrigerator,1.347059873443725e-5,133.06962481014875,1.012297040264135e-7,5
harmlessness,1.852207325985122e-5,130.69338150996754,1.417215856369789e-7,7
axletree,1.5154423576241904e-5,124.75277325951446,1.214756448316962e-7,6
Alcaics,2.0205898101655873e-5,124.75277325951444,1.6196752644226162e-7,8
windowpanes,1.1786773892632593e-5,116.43592170888016,1.012297040264135e-7,5
quakers,1.347059873443725e-5,110.8913540084573,1.214756448316962e-7,6
Sunrise,2.0205898101655873e-5,110.89135400845728,1.822134672475443e-7,9
Milrookits,2.1889722943460528e-5,108.11907015824585,2.02459408052827e-7,10
Dinner,3.1655907025927534e-4,100.87536074317728,3.1381208248188185e-6,155
Djinblats,1.0102949050827937e-5,99.80221860761156,1.012297040264135e-7,5
Entail,1.0102949050827937e-5,99.80221860761156,1.012297040264135e-7,5
Fowls,1.0102949050827937e-5,99.80221860761156,1.012297040264135e-7,5
sanctities,1.0102949050827937e-5,99.80221860761156,1.012297040264135e-7,5
sassages,1.0102949050827937e-5,99.80221860761156,1.012297040264135e-7,5
tambouring,1.0102949050827937e-5,99.80221860761156,1.012297040264135e-7,5
binn,1.1786773892632593e-5,97.02993475740014,1.214756448316962e-7,6
Gamaliel,1.1786773892632593e-5,97.02993475740014,1.214756448316962e-7,6
innovators,1.1786773892632593e-5,97.02993475740014,1.214756448316962e-7,6
linn,1.1786773892632593e-5,97.02993475740014,1.214756448316962e-7,6
triad,1.1786773892632593e-5,97.02993475740014,1.214756448316962e-7,6
innkeeper,1.7175013386407494e-4,93.22185254557124,1.8423806132807258e-6,91
spinnet,1.683824841804656e-5,92.4094616737144,1.822134672475443e-7,9
bygane,8.41912420902328e-6,83.16851550634297,1.012297040264135e-7,5
condescendence,1.0102949050827937e-5,83.16851550634297,1.214756448316962e-7,6
Dictator,8.41912420902328e-6,83.16851550634297,1.012297040264135e-7,5
donsie,8.41912420902328e-6,83.16851550634297,1.012297040264135e-7,5
festa,8.41912420902328e-6,83.16851550634297,1.012297040264135e-7,5
granfarther,8.41912420902328e-6,83.16851550634297,1.012297040264135e-7,5
gratus,8.41912420902328e-6,83.16851550634297,1.012297040264135e-7,5
innovations,2.8625022310679154e-5,83.16851550634297,3.441809936898059e-7,17
linnets,1.683824841804656e-5,83.16851550634297,2.02459408052827e-7,10
lira,8.41912420902328e-6,83.16851550634297,1.012297040264135e-7,5
pannelling,1.0102949050827937e-5,83.16851550634297,1.214756448316962e-7,6
playbills,1.1786773892632593e-5,83.16851550634297,1.417215856369789e-7,7
tems,1.347059873443725e-5,83.16851550634297,1.6196752644226162e-7,8
tribunes,1.0102949050827937e-5,83.16851550634297,1.214756448316962e-7,6
hydrophobia,1.5154423576241904e-5,83.16851550634296,1.822134672475443e-7,9
pinnace,4.041179620331175e-5,76.77093739047042,5.263944609373502e-7,26
inns,2.4247077721987047e-4,74.3867467882819,3.259596469650515e-6,161
