cur.correlates,cur.frequencies,obs.exp,corpus.frequencies,corpus.counts
-,0,0,0.012815882989152002,633010
",",0,0,0.06837042062379485,3376994
;,0,0,0.013800321614868069,681634
?,0,0,0.004071519433764767,201103
.,0,0,0.035793264406297806,1767923
',0,0,0.007699531288249011,380300
‘,0,0,0.0018726280488438182,92494
&,0,0,0.005143035850884354,254028
°,0,0,4.859025793267848e-7,24
10th,0,0,1.6399212052278988e-6,81
11th,0,0,7.086079281848945e-7,35
13th,0,0,7.288538689901772e-7,36
14th,0,0,8.705754546271561e-7,43
15th,0,0,1.1742645667063966e-6,58
18th,0,0,1.012297040264135e-6,50
19th,0,0,5.871322833531983e-7,29
1st,0,0,1.963856258112422e-6,97
20th,0,0,1.4779536787856372e-6,73
22nd,0,0,4.04918816105654e-7,20
23rd,0,0,7.086079281848945e-7,35
24th,0,0,9.718051586535696e-7,48
25th,0,0,1.012297040264135e-6,50
26th,0,0,6.883619873796118e-7,34
27th,0,0,6.478701057690465e-7,32
28th,0,0,9.515592178482869e-7,47
29th,0,0,8.705754546271561e-7,43
2d,0,0,5.668863425479156e-7,28
30th,0,0,7.693457506007426e-7,38
4th,0,0,1.1135267442905484e-6,55
5th,0,0,1.1742645667063966e-6,58
6th,0,0,6.681160465743291e-7,33
7th,0,0,1.012297040264135e-6,50
8th,0,0,8.908213954324388e-7,44
9th,0,0,9.515592178482869e-7,47
a,0,0,0.016130345958384834,796720
A,0,0,5.357480855893908e-4,26462
à,0,0,1.973979228515063e-5,975
aacgr,0,0,1.295740211538093e-6,64
aback,0,0,2.3282831926075105e-6,115
abandon,0,0,1.3159861523433755e-5,650
abandonment,0,0,3.2191045880399494e-6,159
abasement,0,0,1.417215856369789e-6,70
abatement,0,0,1.4779536787856372e-6,73
abbé,0,0,2.7332020087131645e-6,135
Abbé,0,0,1.5994293236173333e-6,79
abbess,0,0,3.239350528845232e-6,160
abbey,0,0,8.422311374997604e-6,416
abbot,0,0,3.52279370011919e-6,174
abbots,0,0,4.6565663852150213e-7,23
abbreviation,0,0,3.441809936898059e-7,17
aberration,0,0,4.6565663852150213e-7,23
aberrations,0,0,4.454106977162194e-7,22
abettor,0,0,5.061485201320675e-7,25
abettors,0,0,3.441809936898059e-7,17
abeyance,0,0,1.2552483299275275e-6,62
abhorrence,0,0,7.57198186117573e-6,374
abiding,0,0,2.02459408052827e-6,100
Abigail,0,0,3.036891120792405e-7,15
abilities,0,0,8.32108167097119e-6,411
ability,0,0,1.0021740698614937e-5,495
abject,0,0,4.57558262199389e-6,226
abler,0,0,6.478701057690465e-7,32
ablest,0,0,1.0730348626799832e-6,53
ablution,0,0,2.834431712739578e-7,14
ablutions,0,0,6.883619873796118e-7,34
abode,0,0,2.2088321418563425e-5,1091
abodes,0,0,1.3362320931486582e-6,66
abolition,0,0,7.895916914060253e-7,39
abomination,0,0,2.0043481397229874e-6,99
abominations,0,0,9.718051586535696e-7,48
abounded,0,0,2.166315666165249e-6,107
abounds,0,0,6.478701057690465e-7,32
abouts,0,0,2.834431712739578e-7,14
abreast,0,0,2.3080372518022278e-6,114
abroad,0,0,4.3589510553773655e-5,2153
abrupt,0,0,1.1256743087737182e-5,556
abruptness,0,0,3.016645179987122e-6,149
absconding,0,0,2.834431712739578e-7,14
absence,0,0,6.984849577822532e-5,3450
absences,0,0,1.1540186259011139e-6,57
absent,0,0,3.2494734992478735e-5,1605
absentee,0,0,4.04918816105654e-7,20
absolution,0,0,1.7816427908648776e-6,88
absorption,0,0,1.5184455603962024e-6,75
abstinence,0,0,2.1460697253599664e-6,106
abstract,0,0,6.640668584132726e-6,328
abstraction,0,0,5.99279847836368e-6,296
abstractions,0,0,6.276241649637637e-7,31
absurdities,0,0,1.7816427908648776e-6,88
absurdity,0,0,7.3897683939281855e-6,365
abundance,0,0,6.114274123195375e-6,302
Abunekeds,0,0,1.012297040264135e-7,5
abuse,0,0,1.2856172411354514e-5,635
abuses,0,0,2.0650859621388355e-6,102
abyss,0,0,4.8792717340731305e-6,241
abysses,0,0,8.503295138218734e-7,42
acacia,0,0,4.04918816105654e-7,20
acacias,0,0,4.6565663852150213e-7,23
academies,0,0,1.822134672475443e-7,9
academy,0,0,1.7209049684490295e-6,85
accent,0,0,1.7532984737374818e-5,866
accents,0,0,1.1823629430285098e-5,584
acceptance,0,0,8.462803256608168e-6,418
acceptation,0,0,8.705754546271561e-7,43
access,0,0,6.843127992185552e-6,338
accessaries,0,0,1.012297040264135e-7,5
accession,0,0,3.644269344950886e-6,180
accessories,0,0,1.1135267442905484e-6,55
accessory,0,0,8.705754546271561e-7,43
accident,0,0,4.464229947564835e-5,2205
accidental,0,0,7.592227801981013e-6,375
accidents,0,0,8.685508605466278e-6,429
acclamation,0,0,9.313132770430043e-7,46
acclamations,0,0,1.963856258112422e-6,97
acclivity,0,0,1.0730348626799832e-6,53
accommodation,0,0,1.0750594567605115e-5,531
accommodations,0,0,2.1258237845546837e-6,105
accomodation,0,0,1.214756448316962e-7,6
accompaniment,0,0,3.1583667656241012e-6,156
accompaniments,0,0,1.4779536787856372e-6,73
accompany,0,0,2.9640057338933874e-5,1464
accompanying,0,0,8.483049197413452e-6,419
accomplice,0,0,3.1988586472346667e-6,158
accomplices,0,0,1.4779536787856372e-6,73
accomplishment,0,0,7.187308985875359e-6,355
accomplishments,0,0,1.1600924081426987e-5,573
accord,0,0,1.0588627041162853e-5,523
accordance,0,0,5.284190550178785e-6,261
accords,0,0,4.859025793267848e-7,24
accost,0,0,1.2754942707328102e-6,63
accouchement,0,0,1.012297040264135e-7,5
account,0,0,1.4694503836474183e-4,7258
accountant,0,0,6.276241649637637e-7,31
accountants,0,0,1.822134672475443e-7,9
accounting,0,0,2.368775074218076e-6,117
accounts,0,0,2.172389448406834e-5,1073
accoutrements,0,0,1.1337726850958312e-6,56
accumulate,0,0,9.515592178482869e-7,47
accumulation,0,0,2.3080372518022278e-6,114
accumulations,0,0,3.644269344950886e-7,18
accuracy,0,0,6.640668584132726e-6,328
