cur.correlates,cur.frequencies,obs.exp,corpus.frequencies,corpus.counts
granfarther,7.530120481927712e-5,743.8647138554218,1.012297040264135e-7,5
gondoliers,5.2710843373493975e-5,433.92108308232935,1.214756448316962e-7,6
Philanthropist,1.1295180722891567e-4,429.152719531974,2.631972304686751e-7,13
wonderings,4.5180722891566266e-5,371.9323569277109,1.214756448316962e-7,6
beanstalk,3.0120481927710842e-5,297.54588554216866,1.012297040264135e-7,5
mignonette,9.789156626506023e-5,284.4188611800142,3.441809936898059e-7,17
pendants,4.5180722891566266e-5,278.94926769578313,1.6196752644226162e-7,8
byeword,3.765060240963856e-5,265.6659692340792,1.417215856369789e-7,7
apricot,1.2801204819277108e-4,263.4520861571285,4.859025793267848e-7,24
park,0.008343373493975903,257.24160516598226,3.2433997170062884e-5,1602
sparks,0.0010466867469879518,253.42449810270492,4.130171924277671e-6,204
summerhouse,3.0120481927710842e-5,247.9549046184739,1.214756448316962e-7,6
tète,3.0120481927710842e-5,247.9549046184739,1.214756448316962e-7,6
toupee,3.0120481927710842e-5,247.9549046184739,1.214756448316962e-7,6
Weight,3.0120481927710842e-5,247.9549046184739,1.214756448316962e-7,6
Candide,2.2590361445783133e-5,223.1594141566265,1.012297040264135e-7,5
exhibitor,2.2590361445783133e-5,223.1594141566265,1.012297040264135e-7,5
petul,2.2590361445783133e-5,223.1594141566265,1.012297040264135e-7,5
ranch,2.2590361445783133e-5,223.1594141566265,1.012297040264135e-7,5
Dedlocks,9.036144578313253e-5,212.53277538726337,4.251647569109367e-7,21
frend,3.0120481927710842e-5,212.53277538726334,1.417215856369789e-7,7
pediments,3.0120481927710842e-5,212.53277538726334,1.417215856369789e-7,7
pugilism,3.765060240963856e-5,206.6290871820616,1.822134672475443e-7,9
Reflects,3.765060240963856e-5,206.6290871820616,1.822134672475443e-7,9
Professors,9.036144578313253e-5,202.8721946878423,4.454106977162194e-7,22
spark,0.0018147590361445782,202.33791878008645,8.968951776740237e-6,443
stipendiary,6.0240963855421684e-5,198.36392369477912,3.036891120792405e-7,15
parks,3.9156626506024094e-4,193.40482560240963,2.02459408052827e-6,100
charmers,4.5180722891566266e-5,185.96617846385544,2.429512896633924e-7,12
colonade,2.2590361445783133e-5,185.96617846385544,1.214756448316962e-7,6
freights,2.2590361445783133e-5,185.96617846385544,1.214756448316962e-7,6
peter,2.2590361445783133e-5,185.96617846385544,1.214756448316962e-7,6
sparkles,2.3343373493975905e-4,185.9661784638554,1.2552483299275275e-6,62
Courier,1.1295180722891567e-4,179.9672694811504,6.276241649637637e-7,31
Ambassadress,3.0120481927710842e-5,165.30326974564926,1.822134672475443e-7,9
Verger,3.0120481927710842e-5,165.30326974564926,1.822134672475443e-7,9
Basse,2.2590361445783133e-5,159.3995815404475,1.417215856369789e-7,7
bijouterie,2.2590361445783133e-5,159.3995815404475,1.417215856369789e-7,7
Billiards,2.2590361445783133e-5,159.3995815404475,1.417215856369789e-7,7
boulevards,2.2590361445783133e-5,159.3995815404475,1.417215856369789e-7,7
burners,4.5180722891566266e-5,159.3995815404475,2.834431712739578e-7,14
hothouses,2.2590361445783133e-5,159.3995815404475,1.417215856369789e-7,7
shepherdess,9.789156626506023e-5,151.09752000188251,6.478701057690465e-7,32
corbels,1.5060240963855421e-5,148.77294277108433,1.012297040264135e-7,5
dictatorship,3.0120481927710842e-5,148.77294277108433,2.02459408052827e-7,10
handlooms,1.5060240963855421e-5,148.77294277108433,1.012297040264135e-7,5
Mosslands,1.5060240963855421e-5,148.77294277108433,1.012297040264135e-7,5
pales,4.5180722891566266e-5,148.77294277108433,3.036891120792405e-7,15
roarin,1.5060240963855421e-5,148.77294277108433,1.012297040264135e-7,5
stokers,1.5060240963855421e-5,148.77294277108433,1.012297040264135e-7,5
colors,9.036144578313253e-5,143.97381558492032,6.276241649637637e-7,31
artfulness,2.2590361445783133e-5,139.47463384789157,1.6196752644226162e-7,8
kness,2.2590361445783133e-5,139.47463384789157,1.6196752644226162e-7,8
ligatures,2.2590361445783133e-5,139.47463384789157,1.6196752644226162e-7,8
mall,2.2590361445783133e-5,139.47463384789157,1.6196752644226162e-7,8
proprietorship,7.530120481927712e-5,137.75272478804106,5.46640401742633e-7,27
Parks,6.0240963855421684e-5,135.24812979189485,4.454106977162194e-7,22
Philanthropists,3.0120481927710842e-5,135.24812979189485,2.227053488581097e-7,11
Reformer,3.0120481927710842e-5,135.24812979189485,2.227053488581097e-7,11
bathers,4.5180722891566266e-5,131.270243621545,3.441809936898059e-7,17
Apartments,2.2590361445783133e-5,123.97745230923695,1.822134672475443e-7,9
automatons,1.5060240963855421e-5,123.97745230923695,1.214756448316962e-7,6
banknotes,1.5060240963855421e-5,123.97745230923695,1.214756448316962e-7,6
boulevard,3.765060240963856e-5,123.97745230923695,3.036891120792405e-7,15
byeways,1.5060240963855421e-5,123.97745230923695,1.214756448316962e-7,6
clothesman,1.5060240963855421e-5,123.97745230923695,1.214756448316962e-7,6
DANGER,2.2590361445783133e-5,123.97745230923695,1.822134672475443e-7,9
fatalities,1.5060240963855421e-5,123.97745230923695,1.214756448316962e-7,6
halfcrowns,1.5060240963855421e-5,123.97745230923695,1.214756448316962e-7,6
improver,2.2590361445783133e-5,123.97745230923695,1.822134672475443e-7,9
quartette,2.2590361445783133e-5,123.97745230923695,1.822134672475443e-7,9
enslaver,5.2710843373493975e-5,118.342113567908,4.454106977162194e-7,22
flouncing,4.5180722891566266e-5,117.45232324032975,3.846728753003713e-7,19
homesteads,4.5180722891566266e-5,117.45232324032975,3.846728753003713e-7,19
carbuncles,3.765060240963856e-5,116.22886153990964,3.2393505288452323e-7,16
fidgets,3.765060240963856e-5,116.22886153990964,3.2393505288452323e-7,16
crême,2.2590361445783133e-5,111.57970707831325,2.02459408052827e-7,10
eighths,2.2590361445783133e-5,111.57970707831325,2.02459408052827e-7,10
onlooker,2.2590361445783133e-5,111.57970707831325,2.02459408052827e-7,10
sluggishness,2.2590361445783133e-5,111.57970707831325,2.02459408052827e-7,10
sphynx,2.2590361445783133e-5,111.57970707831325,2.02459408052827e-7,10
conjurer,6.0240963855421684e-5,110.20217983043283,5.46640401742633e-7,27
kiosk,3.765060240963856e-5,109.39186968462084,3.441809936898059e-7,17
fretwork,1.5060240963855421e-5,106.26638769363167,1.417215856369789e-7,7
INCIDENT,1.5060240963855421e-5,106.26638769363167,1.417215856369789e-7,7
Preparations,3.0120481927710842e-5,106.26638769363167,2.834431712739578e-7,14
