cur.correlates,cur.frequencies,obs.exp,corpus.frequencies,corpus.counts
Provostry,9.186391891478091e-5,648.1999090109756,1.417215856369789e-7,7
Lombards,7.655326576231742e-5,540.1665908424796,1.417215856369789e-7,7
causey,2.0286615427014116e-4,477.14715524419034,4.251647569109367e-7,21
bulkheads,3.827663288115871e-5,378.1166135897357,1.012297040264135e-7,5
tribunes,3.827663288115871e-5,315.0971779914465,1.214756448316962e-7,6
greybeard,4.5931959457390454e-5,283.5874601923018,1.6196752644226162e-7,8
stance,3.444896959304284e-5,283.5874601923018,1.214756448316962e-7,6
contrivers,3.062130630492697e-5,252.07774239315717,1.214756448316962e-7,6
toiler,2.6793643016811098e-5,220.56802459401254,1.214756448316962e-7,6
archways,6.124261260985394e-5,216.06663633699188,2.834431712739578e-7,14
streets,0.009772024374559818,209.0367506484615,4.674787731939776e-5,2309
Poultry,4.210429616927458e-5,207.96413747435466,2.02459408052827e-7,10
vintner,1.5310653152463485e-4,204.38735869715444,7.4909980979546e-7,37
bir,2.6793643016811098e-5,189.0583067948679,1.417215856369789e-7,7
floggings,2.2965979728695227e-5,189.0583067948679,1.214756448316962e-7,6
footways,2.2965979728695227e-5,189.0583067948679,1.214756448316962e-7,6
lanthorns,5.3587286033622196e-5,189.0583067948679,2.834431712739578e-7,14
Skeldergate,2.2965979728695227e-5,189.0583067948679,1.214756448316962e-7,6
extinguishers,4.210429616927458e-5,189.05830679486786,2.227053488581097e-7,11
festa,1.9138316440579356e-5,189.05830679486786,1.012297040264135e-7,5
shopdoor,1.9138316440579356e-5,189.05830679486786,1.012297040264135e-7,5
speek,1.9138316440579356e-5,189.05830679486786,1.012297040264135e-7,5
stagecoach,1.9138316440579356e-5,189.05830679486786,1.012297040264135e-7,5
waterspout,1.9138316440579356e-5,189.05830679486786,1.012297040264135e-7,5
street,0.017890498208653582,180.92926411941286,9.888117489300071e-5,4884
thoroughfares,2.4497045043941575e-4,175.35842949089195,1.3969699155645063e-6,69
assemblages,2.6793643016811098e-5,165.42601844550938,1.6196752644226162e-7,8
taboo,2.6793643016811098e-5,165.42601844550938,1.6196752644226162e-7,8
conflagrations,2.2965979728695227e-5,162.0499772527439,1.417215856369789e-7,7
drays,2.2965979728695227e-5,162.0499772527439,1.417215856369789e-7,7
ramification,2.2965979728695227e-5,162.0499772527439,1.417215856369789e-7,7
gateways,6.124261260985394e-5,159.20699519567822,3.846728753003713e-7,19
ascents,3.827663288115871e-5,157.54858899572324,2.429512896633924e-7,12
byeways,1.9138316440579356e-5,157.54858899572324,1.214756448316962e-7,6
fasces,1.9138316440579356e-5,157.54858899572324,1.214756448316962e-7,6
freights,1.9138316440579356e-5,157.54858899572324,1.214756448316962e-7,6
jalousie,1.9138316440579356e-5,157.54858899572324,1.214756448316962e-7,6
middens,1.9138316440579356e-5,157.54858899572324,1.214756448316962e-7,6
nastiness,3.827663288115871e-5,157.54858899572324,2.429512896633924e-7,12
newsboys,1.9138316440579356e-5,157.54858899572324,1.214756448316962e-7,6
porticoes,1.9138316440579356e-5,157.54858899572324,1.214756448316962e-7,6
